File,Article Citation,Accession ID,Last Updated (YYYY-MM-DD HH:MM:SS),PMID,License
oa_package/b0/ac/PMC13901.tar.gz,Breast Cancer Res. 2001 Nov 9; 3(1):61-65,PMC13901,2019-11-05 11:56:12,11250747.0,NO-CC CODE
oa_package/75/59/PMC13923.tar.gz,Breast Cancer Res. 2001 Dec 22; 3(2):122-133,PMC13923,2023-03-30 17:10:11,11250759.0,NO-CC CODE
oa_package/31/18/PMC14752.tar.gz,Mol Biol Cell. 2000 Jan; 11(1):1-11,PMC14752,2018-06-26 06:14:06,10637286.0,NO-CC CODE
oa_package/9d/bf/PMC17804.tar.gz,Arthritis Res. 2000 Dec 6; 2(1):59-64,PMC17804,2024-05-24 12:25:12,11219390.0,NO-CC CODE
oa_package/c9/38/PMC17805.tar.gz,Arthritis Res. 2000 Dec 22; 2(1):65-74,PMC17805,2014-04-29 19:51:27,11219391.0,NO-CC CODE
oa_package/70/ed/PMC17806.tar.gz,Arthritis Res. 2000 Dec 22; 2(1):75-84,PMC17806,2014-04-29 19:51:28,11219392.0,NO-CC CODE
oa_package/fe/9e/PMC17808.tar.gz,Arthritis Res. 2000 Feb 9; 2(2):145-153,PMC17808,2014-04-29 19:51:28,11062605.0,NO-CC CODE
oa_package/e0/5a/PMC17809.tar.gz,Arthritis Res. 2000 Feb 7; 2(2):154-164,PMC17809,2014-04-29 19:51:28,11062606.0,NO-CC CODE
oa_package/e0/bb/PMC17817.tar.gz,Arthritis Res. 2000 Jul 11; 2(5):407-414,PMC17817,2024-05-24 12:25:12,11056675.0,NO-CC CODE
oa_package/08/a9/PMC17821.tar.gz,Arthritis Res. 2000 Aug 31; 2(6):489-503,PMC17821,2024-05-24 12:25:12,11056679.0,NO-CC CODE
oa_package/e6/98/PMC29063.tar.gz,BMC Cell Biol. 2000 Dec 6; 1:2,PMC29063,2012-10-03 08:27:29,11151091.0,NO-CC CODE
oa_package/d5/60/PMC29064.tar.gz,BMC Cell Biol. 2000 Dec 19; 1:3,PMC29064,2024-03-13 21:25:31,11178101.0,NO-CC CODE
oa_package/86/bf/PMC29067.tar.gz,BMC Cell Biol. 2001 Feb 2; 2:2,PMC29067,2024-04-12 13:25:12,11178104.0,NO-CC CODE
oa_package/83/56/PMC30708.tar.gz,Genome Biol. 2001 Mar 6; 2(3):research0009.1-research0009.12,PMC30708,2024-05-24 12:25:12,11276426.0,NO-CC CODE
oa_package/e0/b0/PMC30714.tar.gz,Crit Care. 2001 Feb 26; 5(2):88-99,PMC30714,2019-11-05 11:56:12,11299067.0,NO-CC CODE
oa_package/d5/98/PMC31330.tar.gz,BMC Biochem. 2001 Mar 16; 2:2,PMC31330,2013-03-19 16:18:03,11299049.0,NO-CC CODE
oa_package/91/0f/PMC32189.tar.gz,Genome Biol. 2001 May 2; 2(5):research0017.1-research0017.7,PMC32189,2024-05-23 23:25:13,11387038.0,NO-CC CODE
oa_package/82/ca/PMC32197.tar.gz,BMC Cell Biol. 2001 May 17; 2:6,PMC32197,2013-03-19 16:18:17,11389770.0,NO-CC CODE
oa_package/f4/24/PMC32207.tar.gz,BMC Mol Biol. 2001 May 22; 2:5,PMC32207,2024-04-06 22:25:16,11389772.0,NO-CC CODE
oa_package/81/a4/PMC34115.tar.gz,Arthritis Res. 2001 Apr 26; 3(4):253-258,PMC34115,2016-09-06 06:14:07,11438044.0,NO-CC CODE
oa_package/01/a6/PMC34520.tar.gz,BMC Microbiol. 2001 Jun 29; 1:8,PMC34520,2024-03-15 17:25:24,11446902.0,NO-CC CODE
oa_package/fb/94/PMC35285.tar.gz,BMC Struct Biol. 2001 Jun 29; 1:2,PMC35285,2024-05-28 00:25:36,11472639.0,NO-CC CODE
oa_package/d2/4b/PMC35355.tar.gz,BMC Gastroenterol. 2001 Jul 12; 1:5,PMC35355,2013-03-19 16:19:15,11481030.0,NO-CC CODE
oa_package/47/6c/PMC37391.tar.gz,BMC Biochem. 2001 Jul 18; 2:7,PMC37391,2012-10-03 08:38:07,11504566.0,NO-CC CODE
oa_package/e5/c0/PMC48140.tar.gz,BMC Cell Biol. 2001 Aug 14; 2:17,PMC48140,2024-05-27 20:25:14,11532191.0,NO-CC CODE
oa_package/c1/03/PMC57746.tar.gz,BMC Biochem. 2001 Sep 12; 2:9,PMC57746,2012-10-03 09:48:50,11591225.0,NO-CC CODE
oa_package/07/ec/PMC57798.tar.gz,Genome Biol. 2001 Sep 13; 2(10):research0043.1-research0043.10,PMC57798,2024-05-24 12:25:12,11597335.0,NO-CC CODE
oa_package/f6/a3/PMC57815.tar.gz,BMC Struct Biol. 2001 Sep 11; 1:4,PMC57815,2024-03-14 21:25:16,11602025.0,NO-CC CODE
oa_package/bd/da/PMC58838.tar.gz,BMC Neurosci. 2001 Oct 8; 2:15,PMC58838,2013-03-19 20:19:58,11686852.0,NO-CC CODE
oa_package/14/14/PMC59658.tar.gz,BMC Biochem. 2001 Oct 15; 2:10,PMC59658,2013-03-19 20:20:35,11696247.0,NO-CC CODE
oa_package/f3/b3/PMC59679.tar.gz,BMC Cell Biol. 2001 Oct 17; 2:20,PMC59679,2013-03-19 20:20:36,11701087.0,NO-CC CODE
oa_package/26/70/PMC59680.tar.gz,BMC Chem Biol. 2001 Oct 16; 1:3,PMC59680,2018-12-20 15:55:55,11701096.0,NO-CC CODE
oa_package/59/c9/PMC59834.tar.gz,BMC Plant Biol. 2001 Oct 17; 1:2,PMC59834,2024-05-27 20:25:14,11710960.0,NO-CC CODE
oa_package/0a/01/PMC59887.tar.gz,BMC Cell Biol. 2001 Nov 8; 2:23,PMC59887,2013-03-19 20:20:42,11716783.0,NO-CC CODE
oa_package/ec/41/PMC59892.tar.gz,BMC Neurosci. 2001 Oct 23; 2:17,PMC59892,2013-03-19 20:20:43,11716788.0,NO-CC CODE
oa_package/4d/e0/PMC60524.tar.gz,BMC Genet. 2001 Nov 23; 2:20,PMC60524,2010-12-21 06:28:45,11737860.0,NO-CC CODE
oa_package/08/03/PMC60990.tar.gz,BMC Microbiol. 2001 Nov 28; 1:31,PMC60990,2024-05-23 22:25:13,11737864.0,NO-CC CODE
oa_package/be/2a/PMC60996.tar.gz,BMC Biochem. 2001 Dec 5; 2:15,PMC60996,2014-04-08 18:45:14,11737877.0,NO-CC CODE
oa_package/97/43/PMC64779.tar.gz,BMC Cell Biol. 2002 Jan 4; 3:1,PMC64779,2010-12-21 06:33:25,11806752.0,NO-CC CODE
oa_package/4a/26/PMC65099.tar.gz,Genome Biol. 2001 Aug 28; 2(9):research0034.1-research0034.7,PMC65099,2019-11-05 11:56:12,11820254.0,NO-CC CODE
oa_package/f8/5c/PMC65512.tar.gz,BMC Cardiovasc Disord. 2002 Jan 18; 2:3,PMC65512,2007-10-09 05:22:04,11835691.0,NO-CC CODE
oa_package/2b/d8/PMC65519.tar.gz,BMC Immunol. 2002 Jan 18; 3:1,PMC65519,2013-03-19 20:21:58,11835689.0,NO-CC CODE
oa_package/b3/bc/PMC65697.tar.gz,BMC Pharmacol. 2002 Feb 8; 2:3,PMC65697,2013-03-19 20:22:05,11872148.0,NO-CC CODE
oa_package/87/ec/PMC88886.tar.gz,BMC Genet. 2002 Feb 13; 3:2,PMC88886,2014-04-08 19:55:47,11897009.0,NO-CC CODE
oa_package/9c/62/PMC100781.tar.gz,BMC Physiol. 2002 Mar 15; 2:4,PMC100781,2019-11-07 07:56:10,11914159.0,NO-CC CODE
oa_package/c7/e6/PMC101406.tar.gz,BMC Dev Biol. 2002 Mar 19; 2:4,PMC101406,2013-03-20 09:24:05,11914126.0,NO-CC CODE
oa_package/32/48/PMC102322.tar.gz,BMC Infect Dis. 2002 Mar 28; 2:5,PMC102322,2024-05-27 20:25:14,11922866.0,NO-CC CODE
oa_package/e8/2f/PMC102333.tar.gz,BMC Genet. 2002 Mar 12; 3:4,PMC102333,2024-03-13 22:25:41,11914130.0,NO-CC CODE
oa_package/26/5e/PMC102767.tar.gz,BMC Plant Biol. 2002 Apr 2; 2:2,PMC102767,2014-02-14 09:05:00,11926968.0,NO-CC CODE
oa_package/cc/ce/PMC113252.tar.gz,BMC Infect Dis. 2002 Apr 30; 2:6,PMC113252,2013-03-20 09:34:00,11983022.0,NO-CC CODE
oa_package/79/e6/PMC113262.tar.gz,BMC Cancer. 2002 Apr 29; 2:8,PMC113262,2024-02-06 17:25:10,11978184.0,NO-CC CODE
oa_package/6e/60/PMC113755.tar.gz,BMC Struct Biol. 2002 May 13; 2:2,PMC113755,2024-05-07 22:25:13,12010576.0,NO-CC CODE
oa_package/b9/44/PMC115225.tar.gz,Genome Biol. 2002 Apr 24; 3(5):research0023.1-research0023.7,PMC115225,2019-11-05 11:56:12,12049664.0,NO-CC CODE
oa_package/ff/9d/PMC116439.tar.gz,BMC Biochem. 2002 May 17; 3:11,PMC116439,2013-03-20 09:35:20,12028592.0,NO-CC CODE
oa_package/4c/a5/PMC116581.tar.gz,BMC Cell Biol. 2002 Jun 12; 3:14,PMC116581,2013-03-20 09:35:26,12079506.0,NO-CC CODE
oa_package/fe/e1/PMC116677.tar.gz,BMC Cancer. 2002 Jun 10; 2:16,PMC116677,2024-05-27 20:25:14,12069693.0,NO-CC CODE
