pmid,journal,doi,issn,publisher
15725418,Brain Res,10.1016/j.brainres.2004.11.056,0006-8993,Elsevier BV
18837167,Folia Microbiol (Praha),,0015-5632,Springer Science and Business Media LLC
34353416,Biomed Environ Sci,10.3967/bes2021.073,2214-0190,
17487399,Oncol Rep,,1021-335X,Spandidos Publications
12894873,Arch Immunol Ther Exp (Warsz),,0004-069X,Walter de Gruyter GmbH
19816148,Plant Signal Behav,10.1093/jxb/erp009,1559-2324,Informa UK Limited
15588140,Physiol Res,,0862-8408,Institute of Physiology of the Czech Academy of Sciences
25593506,Mol Vis,,1090-0535,
16448026,Proc IEEE Comput Syst Bioinform Conf,,1551-7497,
18357784,Ukr Biokhim Zh (1999),,,
15717629,Ren Fail,,0886-022X,Informa UK Limited
23705366,Zhong Yao Cai,,1001-4454,
12552230,Med Sci Monit,,1234-1010,"International Scientific Information, Inc."
18522317,Mikrobiologiia,,0026-3656,Akademizdatcenter Nauka
15730731,Zhonghua Nei Ke Za Zhi,,0578-1426,
19505049,Tsitologiia,,0041-3771,Pleiades Publishing Ltd
21090248,Mol Biol (Mosk),,0026-8984,Akademizdatcenter Nauka
18845083,Xi Bao Yu Fen Zi Mian Yi Xue Za Zhi,,1007-8738,
14607699,Hepatobiliary Pancreat Dis Int,,1499-3872,Elsevier BV
21870744,Rev Med Chir Soc Med Nat Iasi,,0048-7848,Grigore T. Popa University of Medicine and Pharmacy
30858298,J Bacteriol,10.1128/JB.00742-18,1098-5530,American Society for Microbiology
12591739,Cancer Res,,0008-5472,American Association for Cancer Research (AACR)
16736579,Wei Sheng Wu Xue Bao,,0001-6209,China Science Publishing & Media Ltd.
23967743,Zhonghua Gan Zang Bing Za Zhi,,1007-3418,
16083071,J Egypt Soc Parasitol,,1110-0583,Egypts Presidential Specialized Council for Education and Scientific Research
32269710,Am J Transl Res,,1943-8141,e-Century Publishing Corporation
22272439,Fiziol Zh (1994),,2522-9028,National Academy of Sciences of Ukraine (Co. LTD Ukrinformnauka)
22366279,J Struct Biol,10.1016/j.jsb.2012.02.004,1095-8657,Elsevier BV
11507035,Cancer Res,,0008-5472,American Association for Cancer Research (AACR)
17557508,Pediatr Med Chir,,0391-5387,PAGEPress Publications
23106891,Chin Med J (Engl),,2542-5641,Ovid Technologies (Wolters Kluwer Health)
28868265,Int J Mol Cell Med,,2251-9637,
24340612,Patol Fiziol Eksp Ter,,0031-2991,Cifra Ltd - Russian Agency for Digital Standardization (RADS)
23401660,Mol Vis,,1090-0535,
26927381,Xi Bao Yu Fen Zi Mian Yi Xue Za Zhi,,1007-8738,
15862139,Xi Bao Yu Fen Zi Mian Yi Xue Za Zhi,,1007-8738,
11522658,Cancer Res,,0008-5472,American Association for Cancer Research (AACR)
10892729,Electrophoresis,10.1002/1522-2683(20000601)21:11<2180::AID-ELPS2180>3.0.CO;2-#,0173-0835,Wiley
12429929,Cell Cycle,,1538-4101,Informa UK Limited
25427372,Radiats Biol Radioecol,,0869-8031,The Russian Academy of Sciences
33624481,Zhongguo Xiu Fu Chong Jian Wai Ke Za Zhi,10.7507/1002-1892.202005086,1002-1892,
35545358,Zhong Nan Da Xue Xue Bao Yi Xue Ban,10.11817/j.issn.1672-7347.2022.210244,1672-7347,
21700706,J Biol Chem,10.1074/jbc.M111.241760,1083-351X,Elsevier BV
25924424,Sichuan Da Xue Xue Bao Yi Xue Ban,,1672-173X,
12006994,Sheng Wu Hua Xue Yu Sheng Wu Wu Li Xue Bao (Shanghai),,0582-9879,
10631312,FEBS Lett,10.1016/s0014-5793(99)01733-0,0014-5793,Wiley
17094454,Anticancer Res,,0250-7005,Anticancer Research USA Inc.
16267391,Mol Cells,,1016-8478,Elsevier BV
31894109,J Biosci,,0973-7138,Springer Science and Business Media LLC
16954561,J Nucl Med,,0161-5505,Society of Nuclear Medicine
17786371,Oncol Rep,,1021-335X,Spandidos Publications
10949039,Mol Cell,,1097-2765,Elsevier BV
19140324,Mol Biol (Mosk),,0026-8984,Akademizdatcenter Nauka
12208749,Cancer Res,,0008-5472,American Association for Cancer Research (AACR)
18425351,Int J Mol Med,,1107-3756,Spandidos Publications
22582640,Guang Pu Xue Yu Guang Pu Fen Xi,,1000-0593,
22523288,In Vivo,,1791-7549,Anticancer Research USA Inc.
24461182,Zhongguo Dang Dai Er Ke Za Zhi,,1008-8830,
25638378,Neuro Endocrinol Lett,,0172-780X,
19499796,Sheng Wu Yi Xue Gong Cheng Xue Za Zhi,,1001-5515,
21045270,Dis Markers,10.3233/DMA-2010-0732,1875-8630,Hindawi Limited
24796740,Xi Bao Yu Fen Zi Mian Yi Xue Za Zhi,,1007-8738,
22489458,Wei Sheng Wu Xue Bao,,0001-6209,China Science Publishing & Media Ltd.
19404544,Thromb Haemost,,0340-6245,Georg Thieme Verlag KG
23106778,Curr Comput Aided Drug Des,,1875-6697,Bentham Science Publishers Ltd.
26045842,Int J Clin Exp Pathol,,1936-2625,e-Century Publishing Corporation
17003921,Thromb Haemost,,0340-6245,Georg Thieme Verlag KG
15665304,Cancer Res,,0008-5472,American Association for Cancer Research (AACR)
16865282,Int J Oncol,,1019-6439,Spandidos Publications
19338204,Ginekol Pol,,0017-0011,VM Media SP. zo.o VM Group SK
16476736,J Biol Chem,10.1074/jbc.M512502200,0021-9258,Elsevier BV
12765337,Mol Med,,1076-1551,Springer Science and Business Media LLC
16755512,Genet Mol Res,,1676-5680,Genetics and Molecular Research
25924081,Plant Signal Behav,10.1080/15592324.2015.1011937,1559-2324,Informa UK Limited
15601896,Mol Biol Cell,10.1091/mbc.e04-10-0927,1059-1524,American Society for Cell Biology (ASCB)
35082969,Oxid Med Cell Longev,10.1155/2022/6419695,1942-0994,Hindawi Limited
12516957,Mol Cancer Ther,,1535-7163,American Association for Cancer Research (AACR)
19236749,Zhongguo Shi Yan Xue Ye Xue Za Zhi,,1009-2137,
11038408,Exp Physiol,,0958-0670,Wiley
19462896,Sichuan Da Xue Xue Bao Yi Xue Ban,,1672-173X,
15999806,Novartis Found Symp,,1528-2511,
18353217,Zhonghua Yi Xue Za Zhi,,0376-2491,
16080574,Anticancer Res,,0250-7005,Anticancer Research USA Inc.
16869291,Ross Fiziol Zh Im I M Sechenova,,0869-8139,The Russian Academy of Sciences
20586271,Tsitologiia,,0041-3771,Pleiades Publishing Ltd
15862135,Xi Bao Yu Fen Zi Mian Yi Xue Za Zhi,,1007-8738,
20681117,J Reprod Fertil Suppl,,0449-3087,
11023518,Blood,,0006-4971,American Society of Hematology
10600643,Biochem J,,0264-6021,Portland Press Ltd.
16008886,Zhonghua Fu Chan Ke Za Zhi,,0529-567X,
28219860,Nan Fang Yi Ke Da Xue Xue Bao,10.3969/j.issn.1673-4254.2017.02.06,1673-4254,
15858238,Med Wieku Rozwoj,,,
35355481,Sheng Wu Gong Cheng Xue Bao,10.13345/j.cjb.210162,1872-2075,Elsevier BV
11195644,Avian Dis,,0005-2086,JSTOR
22882854,Chin Med J (Engl),,2542-5641,Ovid Technologies (Wolters Kluwer Health)
10839983,Biochem J,,0264-6021,Portland Press Ltd.
27667278,Zhonghua Xin Xue Guan Bing Za Zhi,10.3760/cma.j.issn.0253-3758.2016.09.011,0253-3758,
29466622,Indian J Exp Biol,,0019-5189,CSIR-National Institute of Science Communication and Policy Research (NIScPR)
17173247,J Nephrol,,1121-8428,Springer Science and Business Media LLC
37932063,Biomed Environ Sci,10.3967/bes2023.080,2214-0190,
17940570,Beijing Da Xue Xue Bao Yi Xue Ban,,1671-167X,
23113357,Mol Biol (Mosk),,0026-8984,Akademizdatcenter Nauka
10601551,Int J Oncol,,1019-6439,Spandidos Publications
17287171,Hepatobiliary Pancreat Dis Int,,1499-3872,Elsevier BV
19432234,Urologiia,,1728-2985,Bionika Media
16927838,Med Tr Prom Ekol,,1026-9428,FSBI Research Institute of Occupational Health RAMS
16244578,Exp Oncol,,1812-9269,National Academy of Sciences of Ukraine (Co. LTD Ukrinformnauka) (Publications)
11743114,Plant Physiol,,0032-0889,Oxford University Press (OUP)
19283668,Histol Histopathol,10.14670/HH-24.599,1699-5848,
17068635,Acta Biochim Pol,,0001-527X,Frontiers Media SA
17929631,Alaska Med,,0002-4538,
10768486,Membr Cell Biol,,1023-6597,
24060068,Zhonghua Bing Li Xue Za Zhi,10.3760/cma.j.issn.0529-5807.2013.06.003,0529-5807,
17706016,Folia Biol (Praha),,0015-5500,"Charles University in Prague, Karolinum Press"
15140942,Mol Cancer Res,,1541-7786,American Association for Cancer Research (AACR)
16328009,Int J Mol Med,,1107-3756,Spandidos Publications
12529757,Thromb Haemost,,0340-6245,Georg Thieme Verlag KG
24701830,Sheng Wu Gong Cheng Xue Bao,,1000-3061,
14577176,Ukr Biokhim Zh (1999),,,
11873944,Acta Med Okayama,10.18926/AMO/31727,0386-300X,
15736059,Histol Histopathol,10.14670/HH-20.537,0213-3911,
21539082,Morfologiia,,1026-3543,ECO-Vector LLC
15107609,Cell Cycle,,1538-4101,Informa UK Limited
17853694,Izv Akad Nauk Ser Biol,,1026-3470,The Russian Academy of Sciences
11110696,Blood,,0006-4971,American Society of Hematology
10994080,Tsitologiia,,0041-3771,Pleiades Publishing Ltd
22812098,Zhongguo Gu Shang,,1003-0034,
11866900,Zhonghua Bing Li Xue Za Zhi,,0529-5807,
15254699,Oncol Rep,,1021-335X,Spandidos Publications
23319881,Archaea,10.1155/2012/721869,1472-3654,Hindawi Limited
21880216,J Biol Regul Homeost Agents,,0393-974X,
32016997,Eur Rev Med Pharmacol Sci,10.26355/eurrev_202001_20075,2284-0729,
36325785,Zhongguo Yi Xue Ke Xue Yuan Xue Bao,10.3881/j.issn.1000.503X.14299,1000-503X,
16170383,Oncogene,10.1038/sj.onc.1208814,0950-9232,Springer Science and Business Media LLC
34150180,Am J Transl Res,,1943-8141,e-Century Publishing Corporation
34238413,Zhongguo Yi Xue Ke Xue Yuan Xue Bao,10.3881/j.issn.1000-503X.13096,1000-503X,
19942317,Neurobiol Aging,10.1016/j.neurobiolaging.2009.10.014,1558-1497,
12414630,Cancer Res,,0008-5472,American Association for Cancer Research (AACR)
31813137,Zhonghua Yi Xue Yi Chuan Xue Za Zhi,10.3760/cma.j.issn.1003-9406.2019.12.002,1003-9406,
16943765,Mol Vis,,1090-0535,
15816539,Anticancer Res,,0250-7005,Anticancer Research USA Inc.
19774823,Acta Orthop Belg,,0001-6462,Universa BV
10702521,Clin Chem,,0009-9147,Oxford University Press (OUP)
22303719,Zhongguo Zhong Xi Yi Jie He Za Zhi,,1003-5370,
25329104,Rom J Morphol Embryol,,2066-8279,Societatea Romana de Morfologie
33243860,Science,10.1126/science.abb5872,1095-9203,American Association for the Advancement of Science (AAAS)
22806202,World J Microbiol Biotechnol,10.1007/s11274-012-1087-1,1573-0972,Springer Science and Business Media LLC
38379415,Aging Cell,10.1111/acel.14098,1474-9726,Wiley
15329281,Zhonghua Yi Xue Za Zhi,,0376-2491,
12227070,Vopr Onkol,,0507-3758,Autonomous non-profit scientific and medical organization - Questions of Oncology
12917021,Ai Zheng,,,
15623929,Biomed Mater Eng,,0959-2989,IOS Press
18776994,Acta Biochim Biophys Sin (Shanghai),,1745-7270,China Science Publishing & Media Ltd.
12125819,J Mol Microbiol Biotechnol,,1464-1801,S. Karger AG
34204142,Molecules,10.3390/molecules26113449,1420-3049,MDPI AG
15543991,J Chromatogr A,,0021-9673,Elsevier BV
17564309,Res Commun Mol Pathol Pharmacol,,1078-0297,
19528482,Anticancer Res,,0250-7005,Anticancer Research USA Inc.
15507754,Jpn J Infect Dis,,1344-6304,"Editorial Committee of Japanese Journal of Infectious Diseases, National Institute of Infectious Dis"
17672125,Zh Mikrobiol Epidemiol Immunobiol,,0372-9311,Central Research Institute for Epidemiology
23923579,Indian J Biochem Biophys,,0301-1208,CSIR-National Institute of Science Communication and Policy Research (NIScPR)
11764210,J Rheumatol,,0315-162X,The Journal of Rheumatology
25011959,Zhong Nan Da Xue Xue Bao Yi Xue Ban,10.11817/j.issn.1672-7347.2014.06.001,1672-7347,
24818507,Tsitol Genet,,0564-3783,
24059064,Sheng Wu Yi Xue Gong Cheng Xue Za Zhi,,1001-5515,
11776306,Thromb Haemost,,0340-6245,Georg Thieme Verlag KG
18426644,Zhongguo Shi Yan Xue Ye Xue Za Zhi,,1009-2137,
26400522,Eur Rev Med Pharmacol Sci,,2284-0729,
14650189,Wei Sheng Yan Jiu,,1000-8020,
15773403,Zh Mikrobiol Epidemiol Immunobiol,,0372-9311,Central Research Institute for Epidemiology
15255289,J Exp Ther Oncol,,1359-4117,Wiley
30024692,Zhonghua Zheng Xing Wai Ke Za Zhi,,1009-4598,
15944936,Histol Histopathol,10.14670/HH-20.857,0213-3911,
29019189,Sheng Wu Gong Cheng Xue Bao,10.13345/j.cjb.160137,1000-3061,
21657027,Ying Yong Sheng Tai Xue Bao,,1001-9332,
27055303,Genetika,,0016-6758,Akademizdatcenter Nauka
23831369,Mol Biochem Parasitol,10.1016/j.molbiopara.2013.06.004,1872-9428,
37452627,J Inj Violence Res,10.5249/jivr.v15i2.1681,2008-4072,Journal of Injury and Violence Research
16329506,Guang Pu Xue Yu Guang Pu Fen Xi,,1000-0593,
16008045,Ned Tijdschr Geneeskd,,0028-2162,
10627463,Blood,,0006-4971,American Society of Hematology
17068624,Beijing Da Xue Xue Bao Yi Xue Ban,,1671-167X,
17924608,J Rheumatol,,0315-162X,The Journal of Rheumatology
19619414,Comp Med,,1532-0820,American Association for Laboratory Animal Science
18989529,Thromb Haemost,,0340-6245,Georg Thieme Verlag KG
18051523,Guang Pu Xue Yu Guang Pu Fen Xi,,1000-0593,
17518767,In Silico Biol,,1386-6338,IOS Press
11181928,J Pharmacol Exp Ther,,0022-3565,American Society for Pharmacology & Experimental Therapeutics (ASPET)
33244380,Gastroenterol Hepatol Bed Bench,,2008-2258,
23923649,Pharmazie,,0031-7144,
32786268,ACS Chem Biol,10.1021/acschembio.0c00419,1554-8937,American Chemical Society (ACS)
17327478,Exp Biol Med (Maywood),,1535-3702,Frontiers Media SA
23948918,J Alzheimers Dis,10.3233/JAD-130728,1875-8908,IOS Press
10848880,Clin Endocrinol (Oxf),,0300-0664,Wiley
21569681,Zhonghua Jie He He Hu Xi Za Zhi,10.3760/cma.j.issn1001-0939.2011.03.004,1001-0939,
12198371,Alcohol Clin Exp Res,10.1097/01.ALC.0000026830.27338.23,0145-6008,Wiley
12024954,Indian J Physiol Pharmacol,,0019-5499,Scientific Scholar
15989243,Wei Sheng Wu Xue Bao,,0001-6209,China Science Publishing & Media Ltd.
15065404,Zhongguo Xiu Fu Chong Jian Wai Ke Za Zhi,,1002-1892,
36483916,EXCLI J,10.17179/excli2022-5298,1611-2156,
11505033,Alcohol Clin Exp Res,,0145-6008,Wiley
11686325,Thromb Haemost,,0340-6245,Georg Thieme Verlag KG
18240571,Mol Biol (Mosk),,0026-8984,Akademizdatcenter Nauka
22041769,Trop Biomed,,2521-9855,Malaysian Society of Parasitology and Tropical Medicine
30279308,J Physiol Pharmacol,10.26402/jpp.2018.3.11,1899-1505,
17273797,Int J Mol Med,,1107-3756,Spandidos Publications
19763356,Hamostaseologie,,0720-9355,Georg Thieme Verlag KG
21469344,Zh Evol Biokhim Fiziol,,0044-4529,Akademizdatcenter Nauka
15078981,Mol Cancer Ther,,1535-7163,American Association for Cancer Research (AACR)
14995075,Cell Mol Biol (Noisy-le-grand),,0145-5680,CMB Association
10627469,Blood,,0006-4971,American Society of Hematology
18401461,Mol Vis,,1090-0535,
12939463,Mol Cancer Ther,,1535-7163,American Association for Cancer Research (AACR)
21268883,Zh Evol Biokhim Fiziol,,0044-4529,The Russian Academy of Sciences
26263694,Mikrobiologiia,,0026-3656,Akademizdatcenter Nauka
18819271,Biofizika,,0006-3029,Pleiades Publishing Ltd
16481285,Hepatobiliary Pancreat Dis Int,,1499-3872,Elsevier BV
12432964,Curr Issues Mol Biol,,1467-3037,MDPI AG
27001157,J Allergy Clin Immunol,10.1016/j.jaci.2015.12.1332,1097-6825,
16201318,Folia Histochem Cytobiol,,0239-8508,VM Media SP. zo.o VM Group SK
19403032,Zhonghua Gan Zang Bing Za Zhi,,1007-3418,
22539871,Mol Vis,,1090-0535,
21176359,Zhongguo Shi Yan Xue Ye Xue Za Zhi,,1009-2137,
11722592,Eur J Haematol,,0902-4441,Wiley
22946308,Fiziol Zh (1994),,2522-9028,National Academy of Sciences of Ukraine (Co. LTD Ukrinformnauka)
21688572,Rev Med Chir Soc Med Nat Iasi,,0048-7848,Grigore T. Popa University of Medicine and Pharmacy
30440128,Zhonghua Yi Xue Za Zhi,10.3760/cma.j.issn.0376-2491.2018.41.013,0376-2491,
12749405,Pharmazie,,0031-7144,
12894502,Anticancer Res,,0250-7005,Anticancer Research USA Inc.
17118449,Mol Immunol,10.1016/j.molimm.2006.10.014,0161-5890,Elsevier BV
10970796,Biochem J,,0264-6021,Portland Press Ltd.
17100327,Mikrobiol Z,,1028-0987,National Academy of Sciences of Ukraine (Co. LTD Ukrinformnauka)
15757272,Pneumonol Alergol Pol,,0867-7077,MDPI AG
15040430,Cell Mol Biol (Noisy-le-grand),,0145-5680,CMB Association
19123345,Ying Yong Sheng Tai Xue Bao,,1001-9332,
12894593,Anticancer Res,,0250-7005,Anticancer Research USA Inc.
14677171,J Rheumatol,,0315-162X,The Journal of Rheumatology
19957712,Lik Sprava,,1019-5297,LLC Information and Research Center Likarska Sprava
18289465,Zhongguo Dang Dai Er Ke Za Zhi,,1008-8830,
12801841,Haematologica,,1592-8721,Ferrata Storti Foundation (Haematologica)
18497978,Int J Oncol,,1019-6439,Spandidos Publications
17496224,J Biomol Tech,,1524-0215,Association of Biomolecular Resource Facilities
23980170,Proc Natl Acad Sci U S A,10.1073/pnas.1308651110,1091-6490,Proceedings of the National Academy of Sciences
12894538,Anticancer Res,,0250-7005,Anticancer Research USA Inc.
19003761,Pneumonol Alergol Pol,,0867-7077,MDPI AG
25482721,Anticancer Agents Med Chem,,1875-5992,Bentham Science Publishers Ltd.
12673393,Sheng Wu Hua Xue Yu Sheng Wu Wu Li Xue Bao (Shanghai),,0582-9879,
15161011,Anticancer Res,,0250-7005,Anticancer Research USA Inc.
15591069,J Biol Chem,10.1074/jbc.M411668200,0021-9258,Elsevier BV
18669360,Ross Fiziol Zh Im I M Sechenova,,0869-8139,The Russian Academy of Sciences
18636144,Int J Oncol,,1019-6439,Spandidos Publications
37678858,Altern Ther Health Med,,1078-6791,
30214040,Mol Psychiatry,10.1038/s41380-018-0234-y,1476-5578,Springer Science and Business Media LLC
17721627,Thromb Haemost,,0340-6245,Georg Thieme Verlag KG
30755814,Am J Cancer Res,,2156-6976,e-Century Publishing Corporation
27192819,Mol Gen Mikrobiol Virusol,,0208-0613,Media Sphere Publishing Group
21168935,Eur J Cell Biol,10.1016/j.ejcb.2010.10.013,1618-1298,
13678151,J Biomol Tech,,1524-0215,Association of Biomolecular Resource Facilities
32282322,Medicina (B Aires),,1669-9106,
16209269,Zhong Yao Cai,,1001-4454,
19570464,Zhonghua Fu Chan Ke Za Zhi,,0529-567X,
31894111,J Biosci,,0973-7138,Springer Science and Business Media LLC
25034213,Arch Biochem Biophys,10.1016/j.abb.2014.07.005,1096-0384,
29693984,Przegl Lek,,0033-2240,
14993275,Mol Cell Biol,10.1128/MCB.24.6.2352-2363.2004,0270-7306,Informa UK Limited
12359749,Cancer Res,,0008-5472,American Association for Cancer Research (AACR)
17217200,Vestn Oftalmol,,0042-465X,Media Sphere Publishing Group
34017385,Am J Transl Res,,1943-8141,e-Century Publishing Corporation
23803199,Nan Fang Yi Ke Da Xue Xue Bao,,1673-4254,
33576339,J Biosci,,0973-7138,Springer Science and Business Media LLC
10752931,Invest Ophthalmol Vis Sci,,0146-0404,Association for Research in Vision and Ophthalmology (ARVO)
25509126,Tsitologiia,,0041-3771,Pleiades Publishing Ltd
11409317,Folia Biol (Praha),,0015-5500,"Charles University in Prague, Karolinum Press"
14654532,Clin Cancer Res,,1078-0432,American Association for Cancer Research (AACR)
11392785,Ukr Biokhim Zh (1999),,,
33956436,Acc Chem Res,10.1021/acs.accounts.1c00135,1520-4898,American Chemical Society (ACS)
17490571,Zhongguo Wei Zhong Bing Ji Jiu Yi Xue,,1003-0603,
