publisher,journal,total_pmids
ACTA Endocrinologica Foundation,Acta Endocrinol (Buchar),1
"AEPress, s.r.o.",Bratisl Lek Listy,1
"AEPress, s.r.o.",Gen Physiol Biophys,9
"AEPress, s.r.o.",Neoplasma,13
AIP Publishing,Chaos,6
AIP Publishing,J Chem Phys,54
AIP Publishing,Rev Sci Instrum,2
ALTEX Edition,ALTEX,3
ALUNA,Pol Merkur Lekarski,6
ALUNA,Wiad Lek,6
AME Publishing Company,Ann Palliat Med,1
AME Publishing Company,Ann Transl Med,13
AME Publishing Company,Cardiovasc Diagn Ther,2
AME Publishing Company,Gland Surg,2
AME Publishing Company,J Gastrointest Oncol,4
AME Publishing Company,J Thorac Dis,2
AME Publishing Company,Transl Androl Urol,2
AME Publishing Company,Transl Cancer Res,4
AME Publishing Company,Transl Lung Cancer Res,4
APO Society of Specialists in Heart Failure,Kardiologiia,1
ARAN Ediciones,Nutr Hosp,2
ASME International,J Biomech Eng,3
AVES Publishing Co.,Balkan Med J,1
AVES YAYINCILIK A.Ş.,Turk J Gastroenterol,1
Acta Naturae Ltd,Acta Naturae,3
Acta Pharmaceutica Hungarica,Acta Pharm Hung,1
Aerospace Medical Association,Aviat Space Environ Med,1
African Journals Online (AJOL),Afr Health Sci,1
African Traditional Herbal Medicine Supporters Initiative (ATHMSI),Afr J Infect Dis,1
Aging and Disease,Aging Dis,2
Akademiai Kiado Zrt.,Acta Physiol Hung,2
Akademiai Kiado Zrt.,Eur J Microbiol Immunol (Bp),1
Akademiai Kiado Zrt.,Magy Seb,1
Akademiai Kiado Zrt.,Orv Hetil,1
Akademiai Kiado Zrt.,Physiol Int,1
Akademizdatcenter Nauka,Bioorg Khim,3
Akademizdatcenter Nauka,Fiziol Cheloveka,1
Akademizdatcenter Nauka,Genetika,8
Akademizdatcenter Nauka,Mikrobiologiia,17
Akademizdatcenter Nauka,Mol Biol (Mosk),31
Akademizdatcenter Nauka,Ontogenez,1
Akademizdatcenter Nauka,Prikl Biokhim Mikrobiol,7
Akademizdatcenter Nauka,Radiats Biol Radioecol,3
Akademizdatcenter Nauka,Zh Evol Biokhim Fiziol,3
"Allergy, Asthma, and Immunology Association of Thailand",Asian Pac J Allergy Immunol,5
American Academy of Pediatrics (AAP),Pediatrics,3
American Academy of Sleep Medicine (AASM),J Clin Sleep Med,1
American Animal Hospital Association,J Am Anim Hosp Assoc,1
American Association for Cancer Research (AACR),Cancer Discov,22
American Association for Cancer Research (AACR),Cancer Epidemiol Biomarkers Prev,6
American Association for Cancer Research (AACR),Cancer Immunol Res,8
American Association for Cancer Research (AACR),Cancer Prev Res (Phila),8
American Association for Cancer Research (AACR),Cancer Res,367
American Association for Cancer Research (AACR),Cancer Res Commun,3
American Association for Cancer Research (AACR),Clin Cancer Res,129
American Association for Cancer Research (AACR),Mol Cancer Res,64
American Association for Cancer Research (AACR),Mol Cancer Ther,80
American Association for Laboratory Animal Science,Comp Med,1
American Association for the Advancement of Science (AAAS),Research (Wash D C),2
American Association for the Advancement of Science (AAAS),Sci Adv,88
American Association for the Advancement of Science (AAAS),Sci Aging Knowledge Environ,1
American Association for the Advancement of Science (AAAS),Sci Immunol,8
American Association for the Advancement of Science (AAAS),Sci STKE,10
American Association for the Advancement of Science (AAAS),Sci Signal,118
American Association for the Advancement of Science (AAAS),Sci Transl Med,37
American Association for the Advancement of Science (AAAS),Science,338
American Association of Avian Pathologists (AAAP),Avian Dis,8
American Board of Family Medicine (ABFM),J Am Board Fam Med,1
American Chemical Society (ACS),ACS Appl Bio Mater,8
American Chemical Society (ACS),ACS Appl Mater Interfaces,76
American Chemical Society (ACS),ACS Biomater Sci Eng,3
American Chemical Society (ACS),ACS Catal,2
American Chemical Society (ACS),ACS Cent Sci,3
American Chemical Society (ACS),ACS Chem Biol,142
American Chemical Society (ACS),ACS Chem Neurosci,52
American Chemical Society (ACS),ACS Infect Dis,18
American Chemical Society (ACS),ACS Macro Lett,1
American Chemical Society (ACS),ACS Med Chem Lett,3
American Chemical Society (ACS),ACS Nano,70
American Chemical Society (ACS),ACS Omega,23
American Chemical Society (ACS),ACS Pharmacol Transl Sci,1
American Chemical Society (ACS),ACS Sens,5
American Chemical Society (ACS),ACS Synth Biol,47
American Chemical Society (ACS),Acc Chem Res,44
American Chemical Society (ACS),Acc Mater Res,1
American Chemical Society (ACS),Anal Chem,272
American Chemical Society (ACS),Biochemistry,1271
American Chemical Society (ACS),Bioconjug Chem,88
American Chemical Society (ACS),Biomacromolecules,74
American Chemical Society (ACS),Chem Res Toxicol,59
American Chemical Society (ACS),Environ Sci Technol,21
American Chemical Society (ACS),Inorg Chem,120
American Chemical Society (ACS),J Agric Food Chem,137
American Chemical Society (ACS),J Am Chem Soc,431
American Chemical Society (ACS),J Am Soc Mass Spectrom,65
American Chemical Society (ACS),J Chem Inf Model,141
American Chemical Society (ACS),J Chem Theory Comput,38
American Chemical Society (ACS),J Comb Chem,2
American Chemical Society (ACS),J Med Chem,241
American Chemical Society (ACS),J Nat Prod,15
American Chemical Society (ACS),J Org Chem,22
American Chemical Society (ACS),J Phys Chem A,23
American Chemical Society (ACS),J Phys Chem B,289
American Chemical Society (ACS),J Phys Chem Lett,32
American Chemical Society (ACS),J Proteome Res,285
American Chemical Society (ACS),JACS Au,1
American Chemical Society (ACS),Langmuir,74
American Chemical Society (ACS),Mol Pharm,55
American Chemical Society (ACS),Nano Lett,17
American Chemical Society (ACS),Org Lett,16
American College of Physicians,Ann Intern Med,1
American Dairy Science Association,J Dairy Sci,49
American Diabetes Association,Diabetes,77
American Diabetes Association,Diabetes Care,11
American Institute of Mathematical Sciences (AIMS),Math Biosci Eng,2
American Medical Association (AMA),Arch Dermatol,1
American Medical Association (AMA),Arch Gen Psychiatry,2
American Medical Association (AMA),Arch Neurol,5
American Medical Association (AMA),Arch Ophthalmol,4
American Medical Association (AMA),Arch Otolaryngol Head Neck Surg,1
American Medical Association (AMA),Arch Surg,1
American Medical Association (AMA),JAMA,1
American Medical Association (AMA),JAMA Cardiol,1
American Medical Association (AMA),JAMA Intern Med,1
American Medical Association (AMA),JAMA Netw Open,2
American Medical Association (AMA),JAMA Neurol,3
American Medical Association (AMA),JAMA Oncol,1
American Medical Association (AMA),JAMA Otolaryngol Head Neck Surg,1
American Medical Association (AMA),JAMA Surg,1
American Physical Society (APS),Phys Rev E,10
American Physical Society (APS),Phys Rev E Stat Nonlin Soft Matter Phys,39
American Physical Society (APS),Phys Rev Lett,17
American Physiological Society,Adv Physiol Educ,3
American Physiological Society,Am J Physiol Cell Physiol,141
American Physiological Society,Am J Physiol Endocrinol Metab,95
American Physiological Society,Am J Physiol Gastrointest Liver Physiol,63
American Physiological Society,Am J Physiol Heart Circ Physiol,74
American Physiological Society,Am J Physiol Lung Cell Mol Physiol,84
American Physiological Society,Am J Physiol Regul Integr Comp Physiol,47
American Physiological Society,Am J Physiol Renal Physiol,86
American Physiological Society,J Appl Physiol (1985),38
American Physiological Society,J Neurophysiol,35
American Physiological Society,Physiol Genomics,29
American Physiological Society,Physiology (Bethesda),1
American Psychiatric Association Publishing,Am J Psychiatry,4
American Psychological Association (APA),Behav Neurosci,1
American Psychological Association (APA),Can J Exp Psychol,1
American Psychological Association (APA),Exp Clin Psychopharmacol,1
American Public Health Association,Am J Public Health,1
American Scientific Publishers,J Biomed Nanotechnol,6
American Scientific Publishers,J Nanosci Nanotechnol,12
American Society for Biochemistry & Molecular Biology (ASBMB),J Biol Chem,4
American Society for Biochemistry & Molecular Biology (ASBMB),Mol Cell Proteomics,1
American Society for Cell Biology (ASCB),Mol Biol Cell,522
American Society for Clinical Investigation,J Clin Invest,153
American Society for Clinical Investigation,JCI Insight,48
American Society for Microbiology,Antimicrob Agents Chemother,109
American Society for Microbiology,Appl Environ Microbiol,161
American Society for Microbiology,Clin Diagn Lab Immunol,6
American Society for Microbiology,Clin Vaccine Immunol,19
American Society for Microbiology,EcoSal Plus,5
American Society for Microbiology,Eukaryot Cell,73
American Society for Microbiology,Genome Announc,2
American Society for Microbiology,Infect Immun,186
American Society for Microbiology,J Bacteriol,446
American Society for Microbiology,J Clin Microbiol,50
American Society for Microbiology,J Virol,889
American Society for Microbiology,Microbiol Resour Announc,1
American Society for Microbiology,Microbiol Spectr,56
American Society for Microbiology,mBio,198
American Society for Microbiology,mSphere,46
American Society for Microbiology,mSystems,14
American Society for Pharmacology & Experimental Therapeutics (ASPET),Drug Metab Dispos,44
American Society for Pharmacology & Experimental Therapeutics (ASPET),J Pharmacol Exp Ther,94
American Society for Pharmacology & Experimental Therapeutics (ASPET),Mol Pharmacol,145
American Society of Clinical Oncology (ASCO),J Clin Oncol,5
American Society of Hematology,Blood,448
American Society of Hematology,Blood Adv,23
American Society of Interventional Pain Physicians,Pain Physician,1
American Society of Neuroradiology (ASNR),AJNR Am J Neuroradiol,1
American Society of Parasitologists,J Parasitol,11
American Society of Tropical Medicine and Hygiene,Am J Trop Med Hyg,10
American Thoracic Society,Am J Respir Cell Mol Biol,55
American Thoracic Society,Am J Respir Crit Care Med,21
American Thoracic Society,Ann Am Thorac Soc,1
American Vacuum Society,Biointerphases,10
American Veterinary Medical Association (AVMA),Am J Vet Res,9
American Veterinary Medical Association (AVMA),J Am Vet Med Assoc,3
Annals of Laboratory Medicine,Ann Lab Med,3
Annals of Laboratory Medicine,Korean J Lab Med,1
Annual Reviews,Annu Rev Biochem,2
Annual Reviews,Annu Rev Biophys,2
Annual Reviews,Annu Rev Cell Dev Biol,1
Annual Reviews,Annu Rev Pharmacol Toxicol,1
Anticancer Research USA Inc.,Anticancer Res,71
Anticancer Research USA Inc.,Cancer Genomics Proteomics,5
Anticancer Research USA Inc.,In Vivo,15
"Applied Systems, srl",Discoveries (Craiova),1
Archives of Pathology and Laboratory Medicine,Arch Pathol Lab Med,4
Armenian Green Publishing Co.,Iran J Biotechnol,1
