pmid,issn
29087340,1091-6490
17543862,1534-5807
35907859,1475-2859
19024597,0903-4641
28357617,1573-5079
14705966,1470-8728
35715417,2041-1723
34668777,1098-5514
21106539,1083-351X
15155787,0888-8809
21640703,1096-0384
21989057,1460-2083
15919904,0022-538X
20223211,1878-4186
15834955,1096-9861
27048259,1573-675X
35041543,1477-0903
21744791,1520-6904
11842115,1362-4962
27338793,1476-4687
33417923,1090-2422
37856544,1091-6490
10709091,0020-7136
15209496,0006-2960
15039445,0021-9258
18621860,0363-6135
27795402,2150-7511
28933646,1555-8584
38284198,1600-0625
16258286,1551-4005
15262445,0165-022X
33636367,2210-3244
20420426,1520-4995
25623541,1873-507X
31158228,1553-7358
26275773,1362-4962
25526086,1476-5403
37009061,2643-6728
32294946,2076-393X
19756148,1932-6203
12084068,0014-2956
19833522,1464-3391
28830332,1533-1601
15905059,0731-7085
18482831,0939-6411
30470739,2041-1723
17703088,1422-6421
28820351,1551-4005
15725418,0006-8993
20367066,1556-7125
23417672,1083-351X
29915083,1091-6490
24359406,1472-6882
20547138,0006-3002
20838636,1932-6203
28459551,1520-4995
37398174,
26646171,1545-7885
37738902,1090-2104
23817039,1090-2104
18837167,0015-5632
16547400,0289-0003
17318221,1350-9047
36645445,1550-6606
20010875,1476-5594
34512753,1687-8450
34353416,2214-0190
27634771,1873-7544
29507094,1083-351X
11054812,0360-4012
34940790,1540-9538
11311135,0264-6021
22327008,1535-9786
35146778,1460-2075
24919535,1432-072X
35880950,1551-4005
24162018,2041-1723
34094105,2041-6520
22183548,1940-6029
30880224,1873-3913
21512802,1432-0738
20671242,1524-4571
17235493,0166-8595
25797890,1878-1810
32172734,1445-4416
33274189,2296-424X
32900932,1091-6490
23479762,1535-3699
20709422,1618-1298
31189654,1083-351X
27169352,0006-3002
34257299,2041-1723
20197044,1542-0086
21031485,1469-896X
32275929,1879-2650
36926907,1130-0108
27872982,1432-0983
17957250,1932-6203
30611981,1768-3254
22383530,1083-351X
31636464,1529-2916
15039088,1046-2023
16314420,0021-9258
12502561,0077-8923
30468788,1872-7549
15175283,0021-9193
17487399,1021-335X
15652523,0014-4835
19159910,1095-8673
37844464,1878-1705
17406340,1750-2799
15705590,0021-9258
29773831,2045-2322
21811445,1662-5137
10856879,0022-0795
37176009,1422-0067
19272450,1095-9130
29681477,1879-0445
35623230,1618-1298
26748914,1432-2048
27225870,1097-4652
21121900,1470-8728
36647612,1549-960X
16676145,1436-2228
12137932,0006-8993
34731414,2190-3948
32168101,1473-558X
36334872,1535-9484
38288833,1875-6557
25428220,1528-0020
35063482,1879-0003
15657043,0021-9258
20044836,1535-3907
22531627,1638-6183
34146438,1365-2958
33280960,1873-7072
26613512,1878-1705
34155551,1618-2650
35533581,1090-2120
28922514,1601-0825
31762411,1531-2267
22665792,1091-6490
23428842,1741-2552
37908731,1838-7640
29055716,1090-2430
12954425,0031-9384
33504803,2041-1723
12660155,0261-4189
15672442,0360-4012
21490275,1946-6242
11472891,8756-3282
31813797,1878-1551
35421609,1878-1454
18386936,1530-6984
30293127,1573-9368
29718378,1537-6613
22031943,1098-5514
22549772,1083-351X
27510922,2041-1723
27027998,1551-4005
26771574,1535-4989
23595672,1559-0836
17510231,0013-7227
22860026,1932-6203
30272359,1791-3004
10873480,1046-2023
10683175,0950-1991
26226135,1932-6203
33538041,1097-0231
36750663,2399-3642
33718983,1617-4623
18439261,1752-0509
31964740,2150-7511
12419248,0092-8674
28625782,1879-0445
29499565,2213-2317
37857526,2051-1426
24501395,1758-0463
26985028,1529-2401
29645031,1364-548X
38092323,1089-8646
21875596,1089-8638
21569817,1873-6351
16514659,0730-2312
24289149,1365-3164
25617208,0948-5023
28922415,1553-7374
26070559,1083-351X
26889679,1545-7885
29313971,1097-0215
21403644,1530-0307
17472959,0021-9258
33872658,1879-0089
12894873,0004-069X
33929896,1522-1539
30265660,1553-7404
25130703,1618-0607
19524299,1872-9142
21968275,1532-2777
24671176,1932-6203
30590260,1873-2690
12887696,0022-3042
34857003,1475-2867
16230742,0022-2275
20466070,1873-0329
22574199,1932-6203
24576507,1873-4596
19816148,1559-2324
23927922,1638-6183
16690746,0027-8424
11208058,1398-9219
36836303,2309-608X
30657449,2050-084X
12654920,0021-9258
19181367,1879-2472
21183612,1537-1719
12558980,0022-3042
31660436,2374-7943
19751963,1872-7980
35729108,2041-1723
35466427,1099-0801
22270084,1362-4962
12049734,1097-2765
15067709,0022-3549
30920511,2310-2861
18309502,0001-6322
24843008,2050-084X
17328803,1471-2148
25367038,1549-5477
22178790,0006-3002
25770156,2159-8290
31616807,2470-1343
37316654,1476-4687
17984971,1545-9985
14566560,0032-0935
28246170,1083-351X
28964917,1873-4596
37500730,1546-1718
30528596,1878-4186
15219849,0006-291X
18198191,0021-9533
28159794,1098-5336
17367717,1046-2023
16284372,1055-9965
22457434,1741-7899
23948915,1875-8908
28630422,2045-2322
29655787,1096-0279
17293863,1061-4036
32524705,1365-313X
30384554,1303-6165
20051041,1365-3040
23131510,1677-6119
17604871,1873-4995
35491934,1555-8584
21568856,1608-3040
16787776,0022-2836
28746365,1932-6203
15072545,0952-5041
37603459,1521-3773
12218140,0022-1767
11739185,0006-4971
17243193,0952-3499
11018150,0737-4038
26046126,1791-244X
32680563,2047-2994
16193517,0006-3592
29735519,1098-5522
31678682,1873-3913
36269860,1091-6490
10985429,0340-2061
23396135,1546-1718
12072969,0949-8257
14709052,0002-7863
15588140,0862-8408
18079201,0013-7227
15893112,0306-9877
25748139,2050-084X
24837958,1873-7072
27462812,1476-4687
20711181,1476-4679
33797892,1520-6882
37108690,1422-0067
24136552,1940-6029
20823509,1744-3091
24312324,1932-6203
25460509,1949-2553
15175332,0021-9258
26203857,2041-4889
21930793,1098-5549
29875322,2379-3708
25593506,1090-0535
19228686,0021-9258
31735626,1878-3686
18725330,0006-3002
16165113,0008-8749
12719473,0021-9525
17110461,0006-4971
24971814,1878-5867
29556107,2058-5276
34023904,1362-4962
17013611,0001-6322
19088274,0022-1317
20975736,1440-1711
23224748,1476-3524
16448026,1551-7497
19844268,1365-2540
17034045,1097-0134
35151199,1090-2104
11000486,0169-328X
23717391,1932-6203
11550219,0360-4012
32049272,1540-8140
27542249,1949-2553
32336754,1532-1827
27209231,1464-3405
26656427,1872-9800
35969389,1552-3365
16275332,0076-6879
15823431,0304-3940
16339216,0964-6906
25804130,2040-3372
27579711,1520-510X
20445251,1744-3091
28742108,1932-6203
15888125,1601-6335
11514512,0021-9193
31121874,2073-4409
32242141,2045-2322
38416826,2375-2548
14972325,1096-7192
20647354,1940-3402
18348539,1520-4898
25023280,1083-351X
26118996,1934-6069
26903623,1091-6490
38278307,1872-8006
16627785,1524-4571
12153730,0021-924X
15105375,0890-9369
21710689,1096-9896
24623446,1521-4095
23878194,1083-351X
27645384,1098-5530
15332621,0957-4530
33588834,1475-2867
17321148,1046-5928
33705656,1520-4804
22661231,1549-5477
24191698,1936-086X
15492314,1524-4539
33630390,1365-2184
16262243,0006-2960
33440072,1467-7652
16091282,0003-2697
31953325,1083-351X
21731731,1932-6203
23405229,1932-6203
28147319,1949-2553
34117249,2041-1723
17912603,0166-8595
11132862,0022-0302
18687924,1095-9203
15944254,0022-1767
23115299,1098-5514
11693566,0925-2738
21441211,1943-2631
35083331,2314-6141
11741885,0021-9258
20211142,1097-4172
20595006,0006-3002
16702541,0027-8424
36335116,2045-2322
19959991,1460-2075
11278918,0021-9258
15082759,0270-7306
23300781,1932-6203
33821786,2050-084X
29467319,1098-5514
15356288,1362-4962
16427359,1434-4610
18079701,1460-2075
21671007,1573-675X
26497139,1573-5079
16872734,0300-9084
34955310,1873-3344
30021847,1744-4292
34857680,1674-8301
20946988,1097-4172
26554447,1751-732X
33066491,2075-4418
26172508,1543-2165
26995025,1878-1705
29669836,1098-5514
12871905,0016-6731
29520916,1462-5822
19028568,0923-2508
25733498,1873-3700
16644725,0021-9258
26504172,1540-8140
28533331,1524-4563
36318108,1520-5215
11514549,0021-9258
23056494,1932-6203
22827995,1937-9145
23020643,1399-3054
36008481,2041-1723
22308335,1091-6490
15081896,0003-9861
22113296,1940-6029
30655573,2045-2322
