pmid,pmc,title,journal,doi,issn,publisher
15035603.0,,Absence of large-scale displacement of quinone QB in bacterial photosynthetic reaction centers.,Biochemistry,10.1021/bi049811w,0006-2960,American Chemical Society (ACS)
15946951.0,,Crystal structure of isoaspartyl aminopeptidase in complex with L-aspartate.,J Biol Chem,10.1074/jbc.M504501200,0021-9258,Elsevier BV
28290497.0,5349539.0,Structural Basis of Eco1-Mediated Cohesin Acetylation.,Sci Rep,10.1038/srep44313,2045-2322,Springer Science and Business Media LLC
31558743.0,6763467.0,Structural insight into glucose repression of the mannitol operon.,Sci Rep,10.1038/s41598-019-50249-2,2045-2322,Springer Science and Business Media LLC
23746359.0,,Examining the role of intersubunit contacts in catalysis by 3-deoxy-d-manno-octulosonate 8-phosphate synthase.,Biochemistry,10.1021/bi400521f,1520-4995,American Chemical Society (ACS)
18495156.0,,Structure of the dissimilatory sulfite reductase from the hyperthermophilic archaeon Archaeoglobus fulgidus.,J Mol Biol,10.1016/j.jmb.2008.04.027,1089-8638,Elsevier BV
20929736.0,3079386.0,Structure of a eukaryotic CLC transporter defines an intermediate state in the transport cycle.,Science,10.1126/science.1195230,1095-9203,American Association for the Advancement of Science (AAAS)
18092812.0,,Crystal structure of a molybdopterin synthase-precursor Z complex: insight into its sulfur transfer mechanism and its role in molybdenum cofactor deficiency.,Biochemistry,10.1021/bi701734g,0006-2960,American Chemical Society (ACS)
16226039.0,,"Purification, crystallization, and properties of F1-ATPase complexes from the thermoalkaliphilic Bacillus sp. strain TA2.A1.",J Struct Biol,10.1016/j.jsb.2005.08.005,1047-8477,Elsevier BV
20069616.0,2913414.0,Nanoscale flexibility parameters of Alzheimer amyloid fibrils determined by electron cryo-microscopy.,Angew Chem Int Ed Engl,10.1002/anie.200904781,1521-3773,Wiley
15388917.0,,Structure of the CoA transferase from pig heart to 1.7 A resolution.,Acta Crystallogr D Biol Crystallogr,10.1107/S0907444904017974,0907-4449,International Union of Crystallography (IUCr)
29784975.0,5970066.0,A unique cytoplasmic ATPase complex defines the Legionella pneumophila type IV secretion channel.,Nat Microbiol,10.1038/s41564-018-0165-z,2058-5276,Springer Science and Business Media LLC
21293373.0,3429598.0,Femtosecond X-ray protein nanocrystallography.,Nature,10.1038/nature09750,1476-4687,Springer Science and Business Media LLC
21483814.0,3069055.0,"Structural asymmetry of phosphodiesterase-9, potential protonation of a glutamic acid, and role of the invariant glutamine.",PLoS One,10.1371/journal.pone.0018092,1932-6203,Public Library of Science (PLoS)
38195598.0,10776679.0,Overcoming resolution attenuation during tilted cryo-EM data collection.,Nat Commun,10.1038/s41467-023-44555-7,2041-1723,Springer Science and Business Media LLC
23895222.0,,Mining the bacterial unknown proteome: identification and characterization of a novel family of highly conserved protective antigens in Staphylococcus aureus.,Biochem J,10.1042/BJ20130540,1470-8728,Portland Press Ltd.
24607143.0,4010090.0,Crystal structure of vaccinia virus mRNA capping enzyme provides insights into the mechanism and evolution of the capping apparatus.,Structure,10.1016/j.str.2013.12.014,1878-4186,Elsevier BV
