pmid,pmc,title,journal,doi,issn,publisher
16009334.0,,A pp32-retinoblastoma protein complex modulates androgen receptor-mediated transcription and associates with components of the splicing machinery.,Biochem Biophys Res Commun,10.1016/j.bbrc.2005.06.153,0006-291X,Elsevier BV
18952511.0,,Searching biomarker candidates in serum using multidimensional native chromatography. I. Enhanced separation method.,J Chromatogr B Analyt Technol Biomed Life Sci,10.1016/j.jchromb.2008.09.040,1570-0232,Elsevier BV
29090707.0,,Isolation and identification of calcium-chelating peptides from Pacific cod skin gelatin and their binding properties with calcium.,Food Funct,10.1039/c7fo01014a,2042-650X,Royal Society of Chemistry (RSC)
20700909.0,2930182.0,Characterization of murine brain membrane glycoproteins by detergent assisted lectin affinity chromatography.,Anal Chem,,1520-6882,American Chemical Society (ACS)
19590014.0,2708173.0,Structure of the core editing complex (L-complex) involved in uridine insertion/deletion RNA editing in trypanosomatid mitochondria.,Proc Natl Acad Sci U S A,10.1073/pnas.0901754106,1091-6490,Proceedings of the National Academy of Sciences
31056253.0,,The human Exonuclease-1 interactome and phosphorylation sites.,Biochem Biophys Res Commun,10.1016/j.bbrc.2019.04.171,1090-2104,Elsevier BV
32084490.0,,"Purification, biochemical and biophysical characterization of lysosomal β-D-glucuronidase from an edible freshwater mussel, Lamellidens corrianus.",Int J Biol Macromol,10.1016/j.ijbiomac.2020.02.190,1879-0003,Elsevier BV
15845487.0,1087375.0,Identification and characterization of human surfactant protein A binding protein of Mycoplasma pneumoniae.,Infect Immun,10.1128/IAI.73.5.2828-2834.2005,0019-9567,American Society for Microbiology
11507762.0,,"Selective analysis of phosphopeptides within a protein mixture by chemical modification, reversible biotinylation and mass spectrometry.",Rapid Commun Mass Spectrom,10.1002/rcm.394,0951-4198,Wiley
30580588.0,,"(-)-β-Homoarginine anhydride, a new antioxidant and tyrosinase inhibitor, and further active components from Trichosanthes truncata.",Nat Prod Res,10.1080/14786419.2018.1531404,1478-6427,Informa UK Limited
30591587.0,6393606.0,The small RbcS-like domains of the β-carboxysome structural protein CcmM bind RubisCO at a site distinct from that binding the RbcS subunit.,J Biol Chem,10.1074/jbc.RA118.006330,1083-351X,Elsevier BV
24584089.0,4037560.0,Quantitative proteomics analysis of signalosome dynamics in primary T cells identifies the surface receptor CD6 as a Lat adaptor-independent TCR signaling hub.,Nat Immunol,10.1038/ni.2843,1529-2916,Springer Science and Business Media LLC
12651001.0,,"Purification of recombinant BtpA and Ycf3, proteins involved in membrane protein biogenesis in Synechocystis PCC 6803.",J Chromatogr B Analyt Technol Biomed Life Sci,10.1016/s1570-0232(02)00719-5,1570-0232,Elsevier BV
38212263.0,,"Identification of cyclooxygenase-II inhibitory saponins from fenugreek wastes: Insights from liquid chromatography-tandem mass spectrometry metabolomics, molecular networking, and molecular docking.",Phytochem Anal,10.1002/pca.3322,1099-1565,Wiley
25010413.0,4092016.0,Molecular characterization of the Na+/H+-antiporter NhaA from Salmonella Typhimurium.,PLoS One,10.1371/journal.pone.0101575,1932-6203,Public Library of Science (PLoS)
26809613.0,,"An in depth proteomic analysis based on ProteoMiner, affinity chromatography and nano-HPLC-MS/MS to explain the potential health benefits of bovine colostrum.",J Pharm Biomed Anal,10.1016/j.jpba.2016.01.013,1873-264X,Elsevier BV
20093743.0,,Proteomic analysis of heparin-binding proteins from human seminal plasma: a step towards identification of molecular markers of male fertility.,J Biosci,10.1007/s12038-009-0104-5,0973-7138,Springer Science and Business Media LLC
20518064.0,,A small bispecific protein selected for orthogonal affinity purification.,Biotechnol J,10.1002/biot.201000041,1860-7314,Wiley
29762030.0,6484869.0,Structure-Function Analysis of the Extended Conformation of a Polyketide Synthase Module.,J Am Chem Soc,10.1021/jacs.8b02100,1520-5126,American Chemical Society (ACS)
30248156.0,6152951.0,"Expression of a recombinant, 4'-Phosphopantetheinylated, active M. tuberculosis fatty acid synthase I in E. coli.",PLoS One,10.1371/journal.pone.0204457,1932-6203,Public Library of Science (PLoS)
14503841.0,,Relative extent of tyrosine phosphorylation of the NR2A and NR2B subunits in the rat forebrain postsynaptic density fraction.,Mol Cells,,1016-8478,Elsevier BV
16153017.0,,"Isolation of hCG and its characterization by radioimmunoassay, enzyme-immunoassay, and radio-receptor assay.",J Immunoassay Immunochem,10.1080/15321810500220951,1532-1819,Informa UK Limited
15381063.0,3641935.0,Identification and purification of resveratrol targeting proteins using immobilized resveratrol affinity chromatography.,Biochem Biophys Res Commun,10.1016/j.bbrc.2004.08.174,0006-291X,Elsevier BV
10671518.0,,A dynactin subunit with a highly conserved cysteine-rich motif interacts directly with Arp1.,J Biol Chem,10.1074/jbc.275.7.4834,0021-9258,Elsevier BV
33290064.0,,Further Investigation into the Biochemical Effects of Phosphorylation of Tropomyosin Tpm1.1(α). Serine-283 Is in Communication with the Midregion.,Biochemistry,10.1021/acs.biochem.0c00882,1520-4995,American Chemical Society (ACS)
17363272.0,,New vectors for co-expression of proteins: structure of Bacillus subtilis ScoAB obtained by high-throughput protocols.,Protein Expr Purif,10.1016/j.pep.2007.01.013,1046-5928,Elsevier BV
26988418.0,4826398.0,The proper connection between shelterin components is required for telomeric heterochromatin assembly.,Genes Dev,10.1101/gad.266718.115,1549-5477,Cold Spring Harbor Laboratory
16888367.0,,Isolation of transcription factor complexes by in vivo biotinylation tagging and direct binding to streptavidin beads.,Methods Mol Biol,10.1385/1-59745-097-9:305,1064-3745,Humana Press
27037516.0,,Mass spectrometry insights into a tandem ubiquitin-binding domain hybrid engineered for the selective recognition of unanchored polyubiquitin.,Proteomics,10.1002/pmic.201600067,1615-9861,Wiley
21502374.0,3108844.0,Quantification of activated NF-kappaB/RelA complexes using ssDNA aptamer affinity-stable isotope dilution-selected reaction monitoring-mass spectrometry.,Mol Cell Proteomics,10.1074/mcp.M111.008771,1535-9484,Elsevier BV
23082897.0,,"Detection and identification of heme c-modified peptides by histidine affinity chromatography, high-performance liquid chromatography-mass spectrometry, and database searching.",J Proteome Res,10.1021/pr3007914,1535-3907,American Chemical Society (ACS)
19095658.0,2645824.0,A role for protein phosphorylation in cytochrome P450 3A4 ubiquitin-dependent proteasomal degradation.,J Biol Chem,10.1074/jbc.M806104200,0021-9258,Elsevier BV
30118682.0,6329589.0,An Mtb-Human Protein-Protein Interaction Map Identifies a Switch between Host Antiviral and Antibacterial Responses.,Mol Cell,10.1016/j.molcel.2018.07.010,1097-4164,Elsevier BV
32607990.0,,Isolation and Characterization of Ice-Binding Proteins from Higher Plants.,Methods Mol Biol,10.1007/978-1-0716-0660-5_21,1940-6029,Springer US
11694298.0,,Advantages of quantitative affinity chromatography for the analysis of solute interaction with membrane proteins.,J Biochem Biophys Methods,10.1016/s0165-022x(01)00192-0,0165-022X,Elsevier BV
22015539.0,,"Characterization of alcohol dehydrogenase (ADH12) from Haloarcula marismortui, an extreme halophile from the Dead Sea.",Extremophiles,10.1007/s00792-011-0405-0,1433-4909,Springer Science and Business Media LLC
16793415.0,,Measurement of chromosomal DNA single-strand breaks and replication fork progression rates.,Methods Enzymol,10.1016/S0076-6879(05)09024-5,0076-6879,Elsevier
28750811.0,,Mass Spectrometry Analysis of Human CB2 Cannabinoid Receptor and Its Associated Proteins.,Methods Enzymol,10.1016/bs.mie.2017.06.019,1557-7988,Elsevier
19552888.0,,Quantification of target proteins using hydrogel antibody arrays and MALDI time-of-flight mass spectrometry (A2M2S).,N Biotechnol,10.1016/j.nbt.2009.03.001,1871-6784,Elsevier BV
22139870.0,3268444.0,Green fluorescent protein changes the conductance of connexin 43 (Cx43) hemichannels reconstituted in planar lipid bilayers.,J Biol Chem,10.1074/jbc.M111.319871,1083-351X,Elsevier BV
24069433.0,3775767.0,Inhibition of HCV replication by oxysterol-binding protein-related protein 4 (ORP4) through interaction with HCV NS5B and alteration of lipid droplet formation.,PLoS One,10.1371/journal.pone.0075648,1932-6203,Public Library of Science (PLoS)
22407690.0,3346359.0,Psychrotolerant Paenibacillus tundrae isolates from barley grains produce new cereulide-like depsipeptides (paenilide and homopaenilide) that are highly toxic to mammalian cells.,Appl Environ Microbiol,10.1128/AEM.00049-12,1098-5336,American Society for Microbiology
16275349.0,,Development and use of antiproteasome monoclonal antibodies.,Methods Enzymol,10.1016/S0076-6879(05)98036-1,0076-6879,Elsevier
