pmid,pmc,title,journal,doi,issn,publisher
17094242.0,,Identifying protein complexes in high-throughput protein interaction screens using an infinite latent feature model.,Pac Symp Biocomput,,2335-6928,
29019215.0,,[Global proteomic and phosphoproteomic analysis of the premature maize anther].,Sheng Wu Gong Cheng Xue Bao,10.13345/j.cjb.150449,1000-3061,
12058176.0,,Cloning and Expression of Insulin Receptor Ligand-binding Domains.,Sheng Wu Hua Xue Yu Sheng Wu Wu Li Xue Bao (Shanghai),,0582-9879,
24358479.0,,The RNA polymerase II Rpb4/7 subcomplex regulates cellular lifespan through an mRNA decay process.,Biochem Biophys Res Commun,,1090-2104,
15193243.0,,[Preparation and characterization of monoclonal antibody against Clostridium difficile toxin A].,Xi Bao Yu Fen Zi Mian Yi Xue Za Zhi,,1007-8738,
11977593.0,,[Couple production of human calcitonin and rat peptidylglycine alpha-amidation monooxygenase in insect cells].,Sheng Wu Gong Cheng Xue Bao,,1000-3061,
15132911.0,,[Identification of HCV antigen epitopes from a random 15-peptide library by anti-HCV polycloral antibody].,Xi Bao Yu Fen Zi Mian Yi Xue Za Zhi,,1007-8738,
22026120.0,,Removal of nonspecific binding proteins from cell and tissue extracts using 2-aminobenzimidazole-tethered affinity resin.,Pharmazie,,0031-7144,
22800423.0,,[Proteomics analysis of serum biomarkers in patients with pathological myopia].,Zhonghua Yan Ke Za Zhi,,0412-4081,
23593874.0,,"[Cloning, expression and screening tandem repeats of the Z domain of Staphylococcus aureus protein A].",Sheng Wu Gong Cheng Xue Bao,,1000-3061,
24479325.0,,[Isolation and characterization of new monoclonal antibodies against human IgE].,Ukr Biokhim Zh (1999),,,
36508547.0,,Laboratory Evaluation of Alpha Thalassemia,StatPearls,,,
10965846.0,3968681.0,RING3 kinase transactivates promoters of cell cycle regulatory genes through E2F.,Cell Growth Differ,,1044-9523,
20684312.0,,[Expression of human angiotensin converting enzyme-C domain in Pichia pastoris].,Sheng Wu Gong Cheng Xue Bao,,1000-3061,
16174585.0,,[Two-dimensional liquid chromatographic fractionation of mouse liver phosphoproteome].,Di Yi Jun Yi Da Xue Xue Bao,,1000-2588,
12958659.0,,"[Purification and partial characterization of luffin P1, a peptide with translational inhibitory activity and trypsin inhibitory activity, from seeds of Luffa cylindrica].",Sheng Wu Hua Xue Yu Sheng Wu Wu Li Xue Bao (Shanghai),,0582-9879,
28490692.0,,[Identification of the interacting proteins with S100A8 or S100A9 by affinity purification and mass spectrometry].,Zhong Nan Da Xue Xue Bao Yi Xue Ban,10.11817/j.issn.1672-7347.2017.04.001,1672-7347,
21264232.0,3025096.0,Phosphoproteomics characterization of novel phosphorylated sites of lens proteins from normal and cataractous human eye lenses.,Mol Vis,,1090-0535,
18401461.0,2291074.0,Anti-chaperone betaA3/A1(102-117) peptide interacting sites in human alphaB-crystallin.,Mol Vis,,1090-0535,
25852227.0,4365703.0,Identification of Escherichia coli F4ac-binding proteins in porcine milk fat globule membrane.,Can J Vet Res,,1928-9022,
31137166.0,,[Downregulation of Herg1 suppresses osteosarcoma proliferation and invasion by targeting Hippo signaling pathway].,Zhonghua Zhong Liu Za Zhi,10.3760/cma.j.issn.0253-3766.2019.05.004,0253-3766,
15375747.0,,Glycomic profiling of developmental changes in bovine testis by lectin histochemistry and further analysis of the most prominent alteration on the level of the glycoproteome by lectin blotting and lectin affinity chromatography.,Histol Histopathol,10.14670/HH-19.1043,0213-3911,
17825235.0,,[Preparation of three functional monoclonal antibodies against human FL molecule and analysis of their bioactivity].,Xi Bao Yu Fen Zi Mian Yi Xue Za Zhi,,1007-8738,
19873879.0,,[Construction of immune library of murine immunoglobulin genes and screening of single-chain Fv-antibodies specific to diphtheria toxin B subunit].,Ukr Biokhim Zh (1999),,,
17584655.0,,[Preparation of anti-mouse PGRP-L single-epitope polyclonal antibody].,Nan Fang Yi Ke Da Xue Xue Bao,,1673-4254,
10881991.0,,Binding of the human papillomavirus type 16 E7 oncoprotein and the adeno-associated virus Rep78 major regulatory protein in vitro and in yeast and the potential for downstream effects.,J Hum Virol,,1090-9508,
38800652.0,11118664.0,Mapping Differential Protein-Protein Interaction Networks using Affinity Purification Mass Spectrometry.,ArXiv,,2331-8422,
17062334.0,,[Construction and functional study of a cell penetrating peptide-based expression vector for targeted delivery of proteins into the cell nuclei].,Nan Fang Yi Ke Da Xue Xue Bao,,1673-4254,
18304426.0,,[A quantitative analysis of mitochondrial protein differential expressions in hydroxycamptothecin-treated hepatoma cells].,Zhonghua Gan Zang Bing Za Zhi,,1007-3418,
19351501.0,,[Prediction and modification analysis of low-affinity HLA-A*0201 restricted CTL epitopes derived from HIV-1 pol antigen].,Xi Bao Yu Fen Zi Mian Yi Xue Za Zhi,,1007-8738,
12040386.0,,New Frontiers in the Proteome Research Quantitative Proteomics.,Sheng Wu Hua Xue Yu Sheng Wu Wu Li Xue Bao (Shanghai),,0582-9879,
15201074.0,,[Construction and expression of the fusion vector of His-tagged human ARPC2 gene].,Di Yi Jun Yi Da Xue Xue Bao,,1000-2588,
23643086.0,,[Identification of the epitope of von Willebrand factor recognized by monoclonal antibody SZ-125 with immune-affinity mass spectrometry].,Xi Bao Yu Fen Zi Mian Yi Xue Za Zhi,,1007-8738,
22164854.0,,[Expression and characterization of thioredoxin glutathione reductase of Schistosoma japonicum].,Zhongguo Xue Xi Chong Bing Fang Zhi Za Zhi,,1005-6661,
20965834.0,,[Construction of pNTAP-MK2 eukaryotic expression plasmid and establishment of a cell line for its stable expression].,Nan Fang Yi Ke Da Xue Xue Bao,,1673-4254,
26648287.0,,[Expression of Dengue virus type 2 nonstructural protein 3 and isolation of host proteins interacting with it].,Xi Bao Yu Fen Zi Mian Yi Xue Za Zhi,,1007-8738,
22691350.0,,[Cloning and expression of PKR gene and affinity purification of PKR interacting proteins].,Xi Bao Yu Fen Zi Mian Yi Xue Za Zhi,,1007-8738,
16785855.0,,Proteomic analysis of opsins and thyroid hormone-induced retinal development using isotope-coded affinity tags (ICAT) and mass spectrometry.,Mol Vis,,1090-0535,
11201990.0,,Characterization of the human DNA polymerase delta catalytic subunit expressed by a recombinant baculovirus.,Nagoya J Med Sci,,0027-7622,
27079099.0,,"[Construction of cTnC-linker-TnI (P) Genes, Expression of Fusion Protein and Preparation of Lyophilized Protein].",Sheng Wu Yi Xue Gong Cheng Xue Za Zhi,,1001-5515,
24830199.0,,[Protein interaction between aldolase and actin of Toxoplasma gondii by GST pull-down].,Zhongguo Ji Sheng Chong Xue Yu Ji Sheng Chong Bing Za Zhi,,1000-7423,
28656079.0,5478772.0,"Construction, expression, purification and characterization of secretin domain of PilQ and triple PilA-related disulfide loop peptides fusion protein from Pseudomonas aeruginosa.",Iran J Basic Med Sci,10.22038/IJBMS.2017.8667,2008-3866,
18567502.0,,[Quantitative analysis of nuclear proteome in apoptosis hepatoma cells induced by hydroxycamptothecin].,Fen Zi Xi Bao Sheng Wu Xue Bao,,1673-520X,
23643273.0,,[The expression and purification of TRPM2 protein in E.coli and preparation of its polyclonal antibody].,Xi Bao Yu Fen Zi Mian Yi Xue Za Zhi,,1007-8738,
28630382.0,,Immunodiagnostic Value of Echinococcus Granulosus Recombinant B8/1 Subunit of Antigen B.,Iran J Immunol,,1735-367X,
21528539.0,,[Prokaryotic expression for fusion protein of human metapneumovirus and its preliminary application as an antigen for antibody detection].,Bing Du Xue Bao,,1000-8721,
