pmid,pmc,title,journal,doi,issn
16009334,,A pp32-retinoblastoma protein complex modulates androgen receptor-mediated transcription and associates with components of the splicing machinery.,Biochem Biophys Res Commun,10.1016/j.bbrc.2005.06.153,0006-291X
18952511,,Searching biomarker candidates in serum using multidimensional native chromatography. I. Enhanced separation method.,J Chromatogr B Analyt Technol Biomed Life Sci,10.1016/j.jchromb.2008.09.040,1570-0232
29090707,,Isolation and identification of calcium-chelating peptides from Pacific cod skin gelatin and their binding properties with calcium.,Food Funct,10.1039/c7fo01014a,2042-650X
20700909,2930182,Characterization of murine brain membrane glycoproteins by detergent assisted lectin affinity chromatography.,Anal Chem,,1520-6882
19590014,2708173,Structure of the core editing complex (L-complex) involved in uridine insertion/deletion RNA editing in trypanosomatid mitochondria.,Proc Natl Acad Sci U S A,10.1073/pnas.0901754106,1091-6490
31056253,,The human Exonuclease-1 interactome and phosphorylation sites.,Biochem Biophys Res Commun,10.1016/j.bbrc.2019.04.171,1090-2104
32084490,,"Purification, biochemical and biophysical characterization of lysosomal β-D-glucuronidase from an edible freshwater mussel, Lamellidens corrianus.",Int J Biol Macromol,10.1016/j.ijbiomac.2020.02.190,1879-0003
15845487,1087375,Identification and characterization of human surfactant protein A binding protein of Mycoplasma pneumoniae.,Infect Immun,10.1128/IAI.73.5.2828-2834.2005,0019-9567
11507762,,"Selective analysis of phosphopeptides within a protein mixture by chemical modification, reversible biotinylation and mass spectrometry.",Rapid Commun Mass Spectrom,10.1002/rcm.394,0951-4198
30580588,,"(-)-β-Homoarginine anhydride, a new antioxidant and tyrosinase inhibitor, and further active components from Trichosanthes truncata.",Nat Prod Res,10.1080/14786419.2018.1531404,1478-6427
30591587,6393606,The small RbcS-like domains of the β-carboxysome structural protein CcmM bind RubisCO at a site distinct from that binding the RbcS subunit.,J Biol Chem,10.1074/jbc.RA118.006330,1083-351X
24584089,4037560,Quantitative proteomics analysis of signalosome dynamics in primary T cells identifies the surface receptor CD6 as a Lat adaptor-independent TCR signaling hub.,Nat Immunol,10.1038/ni.2843,1529-2916
12651001,,"Purification of recombinant BtpA and Ycf3, proteins involved in membrane protein biogenesis in Synechocystis PCC 6803.",J Chromatogr B Analyt Technol Biomed Life Sci,10.1016/s1570-0232(02)00719-5,1570-0232
38212263,,"Identification of cyclooxygenase-II inhibitory saponins from fenugreek wastes: Insights from liquid chromatography-tandem mass spectrometry metabolomics, molecular networking, and molecular docking.",Phytochem Anal,10.1002/pca.3322,1099-1565
25010413,4092016,Molecular characterization of the Na+/H+-antiporter NhaA from Salmonella Typhimurium.,PLoS One,10.1371/journal.pone.0101575,1932-6203
26809613,,"An in depth proteomic analysis based on ProteoMiner, affinity chromatography and nano-HPLC-MS/MS to explain the potential health benefits of bovine colostrum.",J Pharm Biomed Anal,10.1016/j.jpba.2016.01.013,1873-264X
20093743,,Proteomic analysis of heparin-binding proteins from human seminal plasma: a step towards identification of molecular markers of male fertility.,J Biosci,10.1007/s12038-009-0104-5,0973-7138
20518064,,A small bispecific protein selected for orthogonal affinity purification.,Biotechnol J,10.1002/biot.201000041,1860-7314
29762030,6484869,Structure-Function Analysis of the Extended Conformation of a Polyketide Synthase Module.,J Am Chem Soc,10.1021/jacs.8b02100,1520-5126
30248156,6152951,"Expression of a recombinant, 4'-Phosphopantetheinylated, active M. tuberculosis fatty acid synthase I in E. coli.",PLoS One,10.1371/journal.pone.0204457,1932-6203
14503841,,Relative extent of tyrosine phosphorylation of the NR2A and NR2B subunits in the rat forebrain postsynaptic density fraction.,Mol Cells,,1016-8478
16153017,,"Isolation of hCG and its characterization by radioimmunoassay, enzyme-immunoassay, and radio-receptor assay.",J Immunoassay Immunochem,10.1080/15321810500220951,1532-1819
15381063,3641935,Identification and purification of resveratrol targeting proteins using immobilized resveratrol affinity chromatography.,Biochem Biophys Res Commun,10.1016/j.bbrc.2004.08.174,0006-291X
10671518,,A dynactin subunit with a highly conserved cysteine-rich motif interacts directly with Arp1.,J Biol Chem,10.1074/jbc.275.7.4834,0021-9258
33290064,,Further Investigation into the Biochemical Effects of Phosphorylation of Tropomyosin Tpm1.1(α). Serine-283 Is in Communication with the Midregion.,Biochemistry,10.1021/acs.biochem.0c00882,1520-4995
17363272,,New vectors for co-expression of proteins: structure of Bacillus subtilis ScoAB obtained by high-throughput protocols.,Protein Expr Purif,10.1016/j.pep.2007.01.013,1046-5928
26988418,4826398,The proper connection between shelterin components is required for telomeric heterochromatin assembly.,Genes Dev,10.1101/gad.266718.115,1549-5477
16888367,,Isolation of transcription factor complexes by in vivo biotinylation tagging and direct binding to streptavidin beads.,Methods Mol Biol,10.1385/1-59745-097-9:305,1064-3745
27037516,,Mass spectrometry insights into a tandem ubiquitin-binding domain hybrid engineered for the selective recognition of unanchored polyubiquitin.,Proteomics,10.1002/pmic.201600067,1615-9861
21502374,3108844,Quantification of activated NF-kappaB/RelA complexes using ssDNA aptamer affinity-stable isotope dilution-selected reaction monitoring-mass spectrometry.,Mol Cell Proteomics,10.1074/mcp.M111.008771,1535-9484
23082897,,"Detection and identification of heme c-modified peptides by histidine affinity chromatography, high-performance liquid chromatography-mass spectrometry, and database searching.",J Proteome Res,10.1021/pr3007914,1535-3907
19095658,2645824,A role for protein phosphorylation in cytochrome P450 3A4 ubiquitin-dependent proteasomal degradation.,J Biol Chem,10.1074/jbc.M806104200,0021-9258
30118682,6329589,An Mtb-Human Protein-Protein Interaction Map Identifies a Switch between Host Antiviral and Antibacterial Responses.,Mol Cell,10.1016/j.molcel.2018.07.010,1097-4164
32607990,,Isolation and Characterization of Ice-Binding Proteins from Higher Plants.,Methods Mol Biol,10.1007/978-1-0716-0660-5_21,1940-6029
