pmid,pmc,title,journal,doi,issn
39058994,,"Mr. Potato Head, Healer.",R I Med J (2013),,2327-2228
38686630,,Retraction of: Nitrogen sources enhance siderophore-mediated competition for iron between potato common scab and late blight causative agents.,Metallomics,10.1093/mtomcs/mfae021,1756-591X
38701998,,Interactions between partially gelatinized starch and nonstarch components in potato flour and their performance in emulsification.,Int J Biol Macromol,10.1016/j.ijbiomac.2024.132044,1879-0003
38736172,,"Dynamics of Potato Virus Y Infection Pressure and Strain Composition in the San Luis Valley, Colorado.",Plant Dis,10.1094/PDIS-10-23-2166-SR,0191-2917
38640546,,A combined approach of lauroyl arginine ethyl ester hydrochloride and kojic acid in mitigating fresh-cut potato deterioration.,Food Chem,10.1016/j.foodchem.2024.139392,1873-7072
39018623,,Hot air treatment alleviates chilling injury of sweet potato tuberous roots by regulating osmoregulatory substances and inducing antioxidant defense system.,Food Chem,10.1016/j.foodchem.2024.140393,1873-7072
39058924,,Chromosome-scale genome assembly and annotation of the tetraploid potato cultivar Diacol Capiro adapted to the Andean region.,G3 (Bethesda),10.1093/g3journal/jkae139,2160-1836
38589729,,"Saccharopolyspora ipomoeae sp. nov., an Actinomycete Isolated from Sweet Potato Field Soils.",Curr Microbiol,10.1007/s00284-024-03661-5,1432-0991
38892181,11172952,Transcriptome Analysis of Potato Leaves under Oxidative Stress.,Int J Mol Sci,10.3390/ijms25115994,1422-0067
38794385,11124996,Monitoring of Chlorophyll Content of Potato in Northern Shaanxi Based on Different Spectral Parameters.,Plants (Basel),10.3390/plants13101314,2223-7747
38763681,,Bioaccessibility and bioavailability of essential and potentially toxic trace elements in potato cultivars: A comprehensive nutritional evaluation.,Food Res Int,10.1016/j.foodres.2024.114431,1873-7145
38624005,,The effects of adding various starches on the structures of restructured potato-based dough and the oil uptake of potato chips.,J Sci Food Agric,10.1002/jsfa.13541,1097-0010
38574179,10994339,Transcriptomic analysis of potato (Solanum tuberosum L.) tuber development reveals new insights into starch biosynthesis.,PLoS One,10.1371/journal.pone.0297334,1932-6203
38974199,11225656,Accumulation patterns of flavonoids and phenolic acids in different colored sweet potato flesh revealed based on untargeted metabolomics.,Food Chem X,10.1016/j.fochx.2024.101551,2590-1575
38996815,11315226,Induction of necrosis symptoms by potato virus X in AGO2-silenced tomato plants associates with reduced transcript accumulation of copper chaperon for superoxide dismutase gene.,Virus Res,10.1016/j.virusres.2024.199436,1872-7492
38374801,11062429,Molecular dissection of an intronic enhancer governing cold-induced expression of the vacuolar invertase gene in potato.,Plant Cell,10.1093/plcell/koae050,1532-298X
38609243,,Freezing pre-treatment improves radio frequency explosion puffing (RFEP) quality by altering the cellular structure of purple sweet potato [Ipomoea batatas (L) Lam.].,Food Res Int,10.1016/j.foodres.2024.114265,1873-7145
38976941,,N-terminal truncated trehalose-6-phosphate synthase 1 gene (△NIbTPS1) enhances the tolerance of sweet potato to abiotic stress.,Plant Physiol Biochem,10.1016/j.plaphy.2024.108917,1873-2690
38937930,,First report of Pectobacterium brasiliense causing blackleg and soft rot of potato in Argentina.,Plant Dis,10.1094/PDIS-03-24-0558-PDN,0191-2917
38998752,11243217,Green Synthesis of Silver Nanoparticles from Anthocyanin Extracts of Peruvian Purple Potato INIA 328-Kulli papa.,Nanomaterials (Basel),10.3390/nano14131147,2079-4991
38663708,,Effect of starch granule size on the properties of dough and the oil absorption of fried potato crisps.,Int J Biol Macromol,10.1016/j.ijbiomac.2024.131844,1879-0003
38860238,11163080,Exploring hydrodynamic cavitation for citrus waste valorisation in Malta: from beverage enhancement to potato sprouting suppression and water remediation.,Front Chem,10.3389/fchem.2024.1411727,2296-2646
38723163,,"Identification of cysteine-rich receptor-like kinase gene family in potato: revealed StCRLK9 in response to heat, salt and drought stresses.",Funct Plant Biol,10.1071/FP23320,1445-4416
38388056,,GBSS mutations in an SBE mutated background restore the potato starch granule morphology and produce ordered granules despite differences to native molecular structure.,Carbohydr Polym,10.1016/j.carbpol.2024.121860,1879-1344
38948404,11214191,Ideotype based genotype selection in a multivariate dataset of sweet potato (Ipomoea batatas L.).,Data Brief,10.1016/j.dib.2024.110575,2352-3409
