pmid,journal,doi,issn
15588140,Physiol Res,,0862-8408
17487399,Oncol Rep,,1021-335X
12894873,Arch Immunol Ther Exp (Warsz),,0004-069X
25593506,Mol Vis,,1090-0535
18837167,Folia Microbiol (Praha),,0015-5632
16448026,Proc IEEE Comput Syst Bioinform Conf,,1551-7497
15717629,Ren Fail,,0886-022X
18357784,Ukr Biokhim Zh (1999),,
23705366,Zhong Yao Cai,,1001-4454
12552230,Med Sci Monit,,1234-1010
18522317,Mikrobiologiia,,0026-3656
19505049,Tsitologiia,,0041-3771
15730731,Zhonghua Nei Ke Za Zhi,,0578-1426
21090248,Mol Biol (Mosk),,0026-8984
18845083,Xi Bao Yu Fen Zi Mian Yi Xue Za Zhi,,1007-8738
14607699,Hepatobiliary Pancreat Dis Int,,1499-3872
21870744,Rev Med Chir Soc Med Nat Iasi,,0048-7848
12591739,Cancer Res,,0008-5472
16736579,Wei Sheng Wu Xue Bao,,0001-6209
23967743,Zhonghua Gan Zang Bing Za Zhi,,1007-3418
16083071,J Egypt Soc Parasitol,,1110-0583
32269710,Am J Transl Res,,1943-8141
22272439,Fiziol Zh (1994),,2522-9028
11507035,Cancer Res,,0008-5472
17557508,Pediatr Med Chir,,0391-5387
23106891,Chin Med J (Engl),,2542-5641
24340612,Patol Fiziol Eksp Ter,,0031-2991
28868265,Int J Mol Cell Med,,2251-9637
23401660,Mol Vis,,1090-0535
15862139,Xi Bao Yu Fen Zi Mian Yi Xue Za Zhi,,1007-8738
26927381,Xi Bao Yu Fen Zi Mian Yi Xue Za Zhi,,1007-8738
12429929,Cell Cycle,,1538-4101
11522658,Cancer Res,,0008-5472
25427372,Radiats Biol Radioecol,,0869-8031
25924424,Sichuan Da Xue Xue Bao Yi Xue Ban,,1672-173X
16267391,Mol Cells,,1016-8478
17094454,Anticancer Res,,0250-7005
12006994,Sheng Wu Hua Xue Yu Sheng Wu Wu Li Xue Bao (Shanghai),,0582-9879
31894109,J Biosci,,0973-7138
16954561,J Nucl Med,,0161-5505
19140324,Mol Biol (Mosk),,0026-8984
17786371,Oncol Rep,,1021-335X
10949039,Mol Cell,,1097-2765
12208749,Cancer Res,,0008-5472
22582640,Guang Pu Xue Yu Guang Pu Fen Xi,,1000-0593
18425351,Int J Mol Med,,1107-3756
22523288,In Vivo,,1791-7549
25638378,Neuro Endocrinol Lett,,0172-780X
24461182,Zhongguo Dang Dai Er Ke Za Zhi,,1008-8830
19499796,Sheng Wu Yi Xue Gong Cheng Xue Za Zhi,,1001-5515
22489458,Wei Sheng Wu Xue Bao,,0001-6209
24796740,Xi Bao Yu Fen Zi Mian Yi Xue Za Zhi,,1007-8738
19404544,Thromb Haemost,,0340-6245
23106778,Curr Comput Aided Drug Des,,1875-6697
17003921,Thromb Haemost,,0340-6245
26045842,Int J Clin Exp Pathol,,1936-2625
15665304,Cancer Res,,0008-5472
16865282,Int J Oncol,,1019-6439
19338204,Ginekol Pol,,0017-0011
16755512,Genet Mol Res,,1676-5680
12765337,Mol Med,,1076-1551
12516957,Mol Cancer Ther,,1535-7163
19236749,Zhongguo Shi Yan Xue Ye Xue Za Zhi,,1009-2137
11038408,Exp Physiol,,0958-0670
19462896,Sichuan Da Xue Xue Bao Yi Xue Ban,,1672-173X
18353217,Zhonghua Yi Xue Za Zhi,,0376-2491
15999806,Novartis Found Symp,,1528-2511
16080574,Anticancer Res,,0250-7005
16869291,Ross Fiziol Zh Im I M Sechenova,,0869-8139
15862135,Xi Bao Yu Fen Zi Mian Yi Xue Za Zhi,,1007-8738
20586271,Tsitologiia,,0041-3771
20681117,J Reprod Fertil Suppl,,0449-3087
11023518,Blood,,0006-4971
10600643,Biochem J,,0264-6021
11195644,Avian Dis,,0005-2086
22882854,Chin Med J (Engl),,2542-5641
16008886,Zhonghua Fu Chan Ke Za Zhi,,0529-567X
15858238,Med Wieku Rozwoj,,
10839983,Biochem J,,0264-6021
17173247,J Nephrol,,1121-8428
23113357,Mol Biol (Mosk),,0026-8984
29466622,Indian J Exp Biol,,0019-5189
17940570,Beijing Da Xue Xue Bao Yi Xue Ban,,1671-167X
10601551,Int J Oncol,,1019-6439
16927838,Med Tr Prom Ekol,,1026-9428
16244578,Exp Oncol,,1812-9269
17287171,Hepatobiliary Pancreat Dis Int,,1499-3872
19432234,Urologiia,,1728-2985
11743114,Plant Physiol,,0032-0889
17068635,Acta Biochim Pol,,0001-527X
17706016,Folia Biol (Praha),,0015-5500
10768486,Membr Cell Biol,,1023-6597
17929631,Alaska Med,,0002-4538
15140942,Mol Cancer Res,,1541-7786
16328009,Int J Mol Med,,1107-3756
12529757,Thromb Haemost,,0340-6245
24701830,Sheng Wu Gong Cheng Xue Bao,,1000-3061
14577176,Ukr Biokhim Zh (1999),,
21539082,Morfologiia,,1026-3543
17853694,Izv Akad Nauk Ser Biol,,1026-3470
15107609,Cell Cycle,,1538-4101
11110696,Blood,,0006-4971
10994080,Tsitologiia,,0041-3771
22812098,Zhongguo Gu Shang,,1003-0034
11866900,Zhonghua Bing Li Xue Za Zhi,,0529-5807
15254699,Oncol Rep,,1021-335X
21880216,J Biol Regul Homeost Agents,,0393-974X
12414630,Cancer Res,,0008-5472
34150180,Am J Transl Res,,1943-8141
19774823,Acta Orthop Belg,,0001-6462
15816539,Anticancer Res,,0250-7005
16943765,Mol Vis,,1090-0535
10702521,Clin Chem,,0009-9147
22303719,Zhongguo Zhong Xi Yi Jie He Za Zhi,,1003-5370
25329104,Rom J Morphol Embryol,,2066-8279
15329281,Zhonghua Yi Xue Za Zhi,,0376-2491
12227070,Vopr Onkol,,0507-3758
12917021,Ai Zheng,,
15623929,Biomed Mater Eng,,0959-2989
18776994,Acta Biochim Biophys Sin (Shanghai),,1745-7270
15543991,J Chromatogr A,,0021-9673
12125819,J Mol Microbiol Biotechnol,,1464-1801
17564309,Res Commun Mol Pathol Pharmacol,,1078-0297
19528482,Anticancer Res,,0250-7005
15507754,Jpn J Infect Dis,,1344-6304
23923579,Indian J Biochem Biophys,,0301-1208
17672125,Zh Mikrobiol Epidemiol Immunobiol,,0372-9311
24818507,Tsitol Genet,,0564-3783
11764210,J Rheumatol,,0315-162X
24059064,Sheng Wu Yi Xue Gong Cheng Xue Za Zhi,,1001-5515
18426644,Zhongguo Shi Yan Xue Ye Xue Za Zhi,,1009-2137
11776306,Thromb Haemost,,0340-6245
26400522,Eur Rev Med Pharmacol Sci,,2284-0729
14650189,Wei Sheng Yan Jiu,,1000-8020
15773403,Zh Mikrobiol Epidemiol Immunobiol,,0372-9311
15255289,J Exp Ther Oncol,,1359-4117
30024692,Zhonghua Zheng Xing Wai Ke Za Zhi,,1009-4598
21657027,Ying Yong Sheng Tai Xue Bao,,1001-9332
27055303,Genetika,,0016-6758
16329506,Guang Pu Xue Yu Guang Pu Fen Xi,,1000-0593
17068624,Beijing Da Xue Xue Bao Yi Xue Ban,,1671-167X
16008045,Ned Tijdschr Geneeskd,,0028-2162
17924608,J Rheumatol,,0315-162X
10627463,Blood,,0006-4971
18051523,Guang Pu Xue Yu Guang Pu Fen Xi,,1000-0593
19619414,Comp Med,,1532-0820
18989529,Thromb Haemost,,0340-6245
17518767,In Silico Biol,,1386-6338
11181928,J Pharmacol Exp Ther,,0022-3565
23923649,Pharmazie,,0031-7144
17327478,Exp Biol Med (Maywood),,1535-3702
33244380,Gastroenterol Hepatol Bed Bench,,2008-2258
10848880,Clin Endocrinol (Oxf),,0300-0664
12024954,Indian J Physiol Pharmacol,,0019-5499
15065404,Zhongguo Xiu Fu Chong Jian Wai Ke Za Zhi,,1002-1892
15989243,Wei Sheng Wu Xue Bao,,0001-6209
11505033,Alcohol Clin Exp Res,,0145-6008
11686325,Thromb Haemost,,0340-6245
18240571,Mol Biol (Mosk),,0026-8984
17273797,Int J Mol Med,,1107-3756
19763356,Hamostaseologie,,0720-9355
21469344,Zh Evol Biokhim Fiziol,,0044-4529
22041769,Trop Biomed,,2521-9855
15078981,Mol Cancer Ther,,1535-7163
10627469,Blood,,0006-4971
12939463,Mol Cancer Ther,,1535-7163
14995075,Cell Mol Biol (Noisy-le-grand),,0145-5680
18401461,Mol Vis,,1090-0535
21268883,Zh Evol Biokhim Fiziol,,0044-4529
18819271,Biofizika,,0006-3029
26263694,Mikrobiologiia,,0026-3656
12432964,Curr Issues Mol Biol,,1467-3037
16481285,Hepatobiliary Pancreat Dis Int,,1499-3872
16201318,Folia Histochem Cytobiol,,0239-8508
21176359,Zhongguo Shi Yan Xue Ye Xue Za Zhi,,1009-2137
19403032,Zhonghua Gan Zang Bing Za Zhi,,1007-3418
22539871,Mol Vis,,1090-0535
11722592,Eur J Haematol,,0902-4441
22946308,Fiziol Zh (1994),,2522-9028
21688572,Rev Med Chir Soc Med Nat Iasi,,0048-7848
12749405,Pharmazie,,0031-7144
12894502,Anticancer Res,,0250-7005
17100327,Mikrobiol Z,,1028-0987
10970796,Biochem J,,0264-6021
15040430,Cell Mol Biol (Noisy-le-grand),,0145-5680
15757272,Pneumonol Alergol Pol,,0867-7077
19123345,Ying Yong Sheng Tai Xue Bao,,1001-9332
14677171,J Rheumatol,,0315-162X
12894593,Anticancer Res,,0250-7005
19957712,Lik Sprava,,1019-5297
18497978,Int J Oncol,,1019-6439
12801841,Haematologica,,1592-8721
18289465,Zhongguo Dang Dai Er Ke Za Zhi,,1008-8830
17496224,J Biomol Tech,,1524-0215
12894538,Anticancer Res,,0250-7005
25482721,Anticancer Agents Med Chem,,1875-5992
12673393,Sheng Wu Hua Xue Yu Sheng Wu Wu Li Xue Bao (Shanghai),,0582-9879
19003761,Pneumonol Alergol Pol,,0867-7077
15161011,Anticancer Res,,0250-7005
18669360,Ross Fiziol Zh Im I M Sechenova,,0869-8139
37678858,Altern Ther Health Med,,1078-6791
17721627,Thromb Haemost,,0340-6245
18636144,Int J Oncol,,1019-6439
30755814,Am J Cancer Res,,2156-6976
32282322,Medicina (B Aires),,1669-9106
27192819,Mol Gen Mikrobiol Virusol,,0208-0613
16209269,Zhong Yao Cai,,1001-4454
13678151,J Biomol Tech,,1524-0215
19570464,Zhonghua Fu Chan Ke Za Zhi,,0529-567X
31894111,J Biosci,,0973-7138
29693984,Przegl Lek,,0033-2240
17217200,Vestn Oftalmol,,0042-465X
12359749,Cancer Res,,0008-5472
34017385,Am J Transl Res,,1943-8141
33576339,J Biosci,,0973-7138
10752931,Invest Ophthalmol Vis Sci,,0146-0404
25509126,Tsitologiia,,0041-3771
11409317,Folia Biol (Praha),,0015-5500
23803199,Nan Fang Yi Ke Da Xue Xue Bao,,1673-4254
14654532,Clin Cancer Res,,1078-0432
11392785,Ukr Biokhim Zh (1999),,
17490571,Zhongguo Wei Zhong Bing Ji Jiu Yi Xue,,1003-0603
24640556,Ital J Anat Embryol,,1122-6714
24800496,Rinsho Byori,,0047-1860
24247793,Ann Clin Lab Sci,,1550-8080
11899704,Acta Cient Venez,,0001-5504
16755850,Klin Med (Mosk),,0023-2149
23420953,Bull Acad Natl Med,,0001-4079
16142322,Int J Oncol,,1019-6439
22594278,Biofizika,,0006-3029
21532317,J Microbiol Biotechnol,,1738-8872
19794887,Can J Vet Res,,1928-9022
11454674,Cancer Res,,0008-5472
16253189,Zhonghua Yi Xue Za Zhi,,0376-2491
11931430,J Environ Qual,,0047-2425
18612243,Mol Cells,,1016-8478
28770955,Eur Rev Med Pharmacol Sci,,2284-0729
23342636,Ukr Biokhim Zh (1999),,
21737628,Anticancer Res,,1791-7530
22117435,Biofizika,,0006-3029
27524955,Heart Metab,,1566-0338
