pmid,journal,doi
17543862,Dev Cell,10.1016/j.devcel.2007.03.019
35907859,Microb Cell Fact,10.1186/s12934-022-01877-3
19024597,APMIS,10.1111/j.1600-0463.2008.00999.x
29087340,Proc Natl Acad Sci U S A,10.1073/pnas.1713574114
28357617,Photosynth Res,10.1007/s11120-017-0371-1
14705966,Biochem J,10.1042/BJ20031048
35715417,Nat Commun,10.1038/s41467-022-31240-4
34668777,J Virol,10.1128/JVI.01222-21
15155787,Mol Endocrinol,10.1210/me.2004-0129
21106539,J Biol Chem,10.1074/jbc.M110.190637
21640703,Arch Biochem Biophys,10.1016/j.abb.2011.05.012
21989057,Hum Mol Genet,10.1093/hmg/ddr457
15919904,J Virol,10.1128/JVI.79.12.7492-7502.2005
20223211,Structure,10.1016/j.str.2010.01.009
15834955,J Comp Neurol,10.1002/cne.20500
27048259,Apoptosis,10.1007/s10495-016-1241-6
35041543,Hum Exp Toxicol,10.1177/09603271211062854
21744791,J Org Chem,10.1021/jo201024r
11842115,Nucleic Acids Res,10.1093/nar/30.4.1029
27338793,Nature,10.1038/nature18312
37856544,Proc Natl Acad Sci U S A,10.1073/pnas.2304689120
33417923,Exp Cell Res,10.1016/j.yexcr.2020.112445
10709091,Int J Cancer,10.1002/(sici)1097-0215(20000315)85:6<757::aid-ijc3>3.0.co
15209496,Biochemistry,10.1021/bi049478w
15039445,J Biol Chem,10.1074/jbc.M311576200
18621860,Am J Physiol Heart Circ Physiol,10.1152/ajpheart.00079.2008
27795402,mBio,10.1128/mBio.01729-16
28933646,RNA Biol,10.1080/15476286.2017.1379645
38284198,Exp Dermatol,10.1111/exd.14997
15262445,J Biochem Biophys Methods,10.1016/j.jbbm.2004.03.008
16258286,Cell Cycle,10.4161/cc.4.12.2193
33636367,Genomics Proteomics Bioinformatics,10.1016/j.gpb.2020.06.020
20420426,Biochemistry,10.1021/bi9021445
25623541,Physiol Behav,10.1016/j.physbeh.2015.01.028
31158228,PLoS Comput Biol,10.1371/journal.pcbi.1007066
26275773,Nucleic Acids Res,10.1093/nar/gkv819
37009061,Acc Mater Res,10.1021/accountsmr.2c00239
25526086,Cell Death Differ,10.1038/cdd.2014.206
32294946,Vaccines (Basel),10.3390/vaccines8020179
19756148,PLoS One,10.1371/journal.pone.0007046
12084068,Eur J Biochem,10.1046/j.1432-1033.2002.03003.x
19833522,Bioorg Med Chem,10.1016/j.bmc.2009.09.025
28830332,Toxicol Pathol,10.1177/0192623317723539
15905059,J Pharm Biomed Anal,10.1016/j.jpba.2005.04.009
18482831,Eur J Pharm Biopharm,10.1016/j.ejpb.2008.03.012
30470739,Nat Commun,10.1038/s41467-018-07101-4
28820351,Cell Cycle,10.1080/15384101.2017.1361065
17703088,Cells Tissues Organs,10.1159/000107556
15725418,Brain Res,10.1016/j.brainres.2004.11.056
20367066,Foodborne Pathog Dis,10.1089/fpd.2009.0492
23417672,J Biol Chem,10.1074/jbc.M112.424564
29915083,Proc Natl Acad Sci U S A,10.1073/pnas.1711888115
24359406,BMC Complement Altern Med,10.1186/1472-6882-13-363
20547138,Biochim Biophys Acta,10.1016/j.bbabio.2010.06.003
20838636,PLoS One,10.1371/journal.pone.0012588
28459551,Biochemistry,10.1021/acs.biochem.6b00922
26646171,PLoS Biol,10.1371/journal.pbio.1002316
37398174,medRxiv,10.1101/2023.06.12.23291297
37738902,Biochem Biophys Res Commun,10.1016/j.bbrc.2023.09.039
23817039,Biochem Biophys Res Commun,10.1016/j.bbrc.2013.06.075
17318221,Cell Death Differ,10.1038/sj.cdd.4402110
18837167,Folia Microbiol (Praha),
16547400,Zoolog Sci,10.2108/zsj.23.1
36645445,J Immunol,10.4049/jimmunol.2100792
11054812,J Neurosci Res,10.1002/1097-4547(20001101)62:3<427::AID-JNR13>3.0.CO
20010875,Oncogene,10.1038/onc.2009.404
34512753,J Oncol,10.1155/2021/6147962
34353416,Biomed Environ Sci,10.3967/bes2021.073
27634771,Neuroscience,10.1016/j.neuroscience.2016.09.004
29507094,J Biol Chem,10.1074/jbc.RA117.001323
34940790,J Exp Med,10.1084/jem.20211523
11311135,Biochem J,10.1042/bj3550725
22327008,Eukaryot Cell,10.1128/EC.00011-12
35146778,EMBO J,10.15252/embj.2021109102
24919535,Arch Microbiol,10.1007/s00203-014-1003-1
