File,Article Citation,Accession ID,Last Updated (YYYY-MM-DD HH:MM:SS),PMID,License
oa_package/b9/38/PMC11617646.tar.gz,New Phytol. 2025 Jan 6; 245(1):282-298,PMC11617646,2024-12-05 19:25:33,39501740.0,CC BY
oa_package/85/17/PMC11699788.tar.gz,BMC Plant Biol. 2025 Jan 4; 25:14,PMC11699788,2025-01-05 05:25:20,39754033.0,CC BY-NC-ND
oa_package/fd/41/PMC11703546.tar.gz,Plant J. 2025 Jan 25; 121(1):e17158,PMC11703546,2025-01-07 11:25:42,39585203.0,CC BY-NC-ND
oa_package/a9/c0/PMC11712021.tar.gz,Heliyon. 2024 Dec 14; 11(1):e41244,PMC11712021,2025-01-10 04:26:30,39790888.0,CC BY-NC-ND
oa_package/5e/2f/PMC11719786.tar.gz,Foods. 2025 Jan 1; 14(1):81,PMC11719786,2025-01-12 02:25:28,39796370.0,CC BY
oa_package/b1/4d/PMC11723575.tar.gz,Microbiol Spectr.; 13(1):e00784-24,PMC11723575,2025-01-11 16:25:38,39660908.0,CC BY
oa_package/43/9d/PMC11729646.tar.gz,J Genet Eng Biotechnol. 2024 Dec 21; 23(1):100450,PMC11729646,2025-03-13 06:25:16,40074424.0,CC BY-NC-ND
oa_package/bd/ac/PMC11733224.tar.gz,Sci Rep. 2025 Jan 14; 15:1942,PMC11733224,2025-01-28 13:25:16,39809802.0,CC BY
oa_package/fb/f2/PMC11741029.tar.gz,Food Chem X. 2024 Dec 22; 25:102116,PMC11741029,2025-01-28 18:25:24,39829997.0,CC BY
oa_package/ed/fb/PMC11741091.tar.gz,Food Chem X. 2024 Dec 24; 25:102123,PMC11741091,2025-01-28 18:25:24,39830000.0,CC BY
oa_package/e3/9e/PMC11743511.tar.gz,Front Plant Sci. 2025 Jan 6; 15:1495541,PMC11743511,2025-01-28 19:25:14,39834704.0,CC BY
oa_package/85/8d/PMC11747047.tar.gz,Front Plant Sci. 2025 Jan 7; 15:1511602,PMC11747047,2025-01-28 20:25:36,39840368.0,CC BY
oa_package/42/b4/PMC11748701.tar.gz,Sci Rep. 2025 Jan 17; 15:2284,PMC11748701,2025-02-18 19:25:42,39825038.0,CC BY-NC-ND
